Time            	C2              	M5              	A1              	S0              	E2              	E1              	C3              	A2              	C2H4O           	CH2O            	E3              	M2              	M3              	M4              	B1              	C4              	B2              	B3              	M6              	M1              
0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.0000000000e-12	2.5000000000e+00	7.2489386917e-21	1.4471042860e-20	2.7359167270e-04	1.1044059868e-05	4.9146646105e-01	0.0000000000e+00	4.1661441637e-19	0.0000000000e+00	0.0000000000e+00	8.2527594386e-20	1.3735812112e-19	3.7264330777e-26	4.2045380571e-18	5.0803670006e-01	2.5000000000e+00	2.1220315497e-04	2.5622352363e-14	7.3756945169e-33	4.5467709111e-20
1.0232929923e-12	2.5000000000e+00	7.9649790094e-21	1.4900283804e-20	2.7348199018e-04	1.1302870491e-05	4.9126943284e-01	0.0000000000e+00	4.3577679198e-19	0.0000000000e+00	0.0000000000e+00	8.4879026277e-20	1.4634635999e-19	4.0683764684e-26	4.5078644048e-18	5.0822928304e-01	2.5000000000e+00	2.1649925479e-04	2.6754313308e-14	8.3036449725e-33	4.7049522617e-20
1.0471285481e-12	2.5000000000e+00	8.7505044189e-21	1.5339557704e-20	2.7336979836e-04	1.1567582550e-05	4.9106789705e-01	0.0000000000e+00	4.5576256908e-19	0.0000000000e+00	0.0000000000e+00	8.7285173305e-20	1.5586176603e-19	4.4394784599e-26	4.8324207215e-18	5.0842630126e-01	2.5000000000e+00	2.2086430726e-04	2.7933573005e-14	9.3469273541e-33	4.8670216894e-20
1.0715193052e-12	2.5000000000e+00	9.6121415538e-21	1.5789067636e-20	2.7325504091e-04	1.1838327575e-05	4.9086175250e-01	0.0000000000e+00	4.7660412989e-19	0.0000000000e+00	0.0000000000e+00	8.9747163078e-20	1.6593194044e-19	4.8420260622e-26	5.1796462316e-18	5.0862785543e-01	2.5000000000e+00	2.2529870204e-04	2.9161942736e-14	1.0519709446e-32	5.0330462593e-20
1.0964781961e-12	2.5000000000e+00	1.0557137832e-20	1.6249021696e-20	2.7313766030e-04	1.2115239886e-05	4.9065089582e-01	0.0000000000e+00	4.9833495114e-19	0.0000000000e+00	0.0000000000e+00	9.2266150331e-20	1.7658581089e-19	5.2784693188e-26	5.5510741593e-18	5.0883404848e-01	2.5000000000e+00	2.2980279631e-04	3.0441292373e-14	1.1837879849e-32	5.2030952440e-20
1.1220184543e-12	2.5000000000e+00	1.1593418505e-20	1.6719633427e-20	2.7301759775e-04	1.2398456642e-05	4.9043522145e-01	0.0000000000e+00	5.2098962932e-19	0.0000000000e+00	0.0000000000e+00	9.4843318880e-20	1.8785369089e-19	5.7514318638e-26	5.9483375762e-18	5.0904498558e-01	2.5000000000e+00	2.3437691303e-04	3.1773551540e-14	1.3319254472e-32	5.3772403357e-20
1.1481536215e-12	2.5000000000e+00	1.2729648824e-20	1.7201122182e-20	2.7289479324e-04	1.2688117897e-05	4.9021462154e-01	0.0000000000e+00	5.4460390565e-19	0.0000000000e+00	0.0000000000e+00	9.7479883362e-20	1.9976734270e-19	6.2637220656e-26	6.3731755869e-18	5.0926077420e-01	2.5000000000e+00	2.3902133912e-04	3.3160710738e-14	1.4983807573e-32	5.5555558337e-20
1.1748975549e-12	2.5000000000e+00	1.3975301783e-20	1.7693713201e-20	2.7276918543e-04	1.2984366649e-05	4.8998898595e-01	0.0000000000e+00	5.6921469077e-19	0.0000000000e+00	0.0000000000e+00	1.0017708966e-19	2.1236004581e-19	6.8183447192e-26	6.8274398715e-18	5.0948152417e-01	2.5000000000e+00	2.4373632362e-04	3.4604822439e-14	1.6853930213e-32	5.7381187358e-20
1.2022644346e-12	2.5000000000e+00	1.5340731911e-20	1.8197637547e-20	2.7264071171e-04	1.3287348901e-05	4.8975820217e-01	0.0000000000e+00	5.9486008894e-19	0.0000000000e+00	0.0000000000e+00	1.0293621470e-19	2.2566667020e-19	7.4185133564e-26	7.3131016024e-18	5.0970734770e-01	2.5000000000e+00	2.4852207586e-04	3.6108002132e-14	1.8954719351e-32	5.9250087435e-20
