Time            	C2              	M5              	A1              	S0              	E2              	E1              	C3              	A2              	C2H4O           	CH2O            	E3              	M2              	M3              	M4              	B1              	C4              	B2              	B3              	M6              	M1              
0.0000000000e+00	-3.0900000000e+13	0.0000000000e+00	0.0000000000e+00	-6.1800000000e+13	0.0000000000e+00	3.0900000000e+13	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.0900000000e+13	-3.0900000000e+13	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.0000000000e-12	8.4492728723e+09	2.9678037523e-08	1.8426729657e-08	-4.7097648503e+06	1.1113728812e+07	-8.4603866011e+09	3.0739110148e-21	8.1478858129e-07	1.3576622356e-05	4.6558195405e-07	1.0094934037e-07	3.7929258168e-07	1.4248668723e-13	1.2732155737e-05	8.2688967024e+09	-8.4539826371e+09	1.8508593464e+08	4.8158954940e-02	3.7984024096e-20	6.7862500222e-08
1.0232929923e-12	8.4458855710e+09	3.1819088598e-08	1.8428859627e-08	-4.7078762591e+06	1.1108459275e+07	-8.4569940303e+09	3.3559780499e-21	8.3051565590e-07	1.4176419207e-05	4.7884762916e-07	1.0095008459e-07	3.9246461365e-07	1.5115516544e-13	1.3314084462e-05	8.2668028811e+09	-8.4505934473e+09	1.8379056608e+08	4.9032503824e-02	4.1735882133e-20	6.7954004728e-08
1.0471285481e-12	8.4424207754e+09	3.4109992953e-08	1.8429648323e-08	-4.7059444619e+06	1.1103069243e+07	-8.4535238447e+09	3.6620978530e-21	8.4642526935e-07	1.4801278444e-05	4.9242198139e-07	1.0094462840e-07	4.0595870368e-07	1.6027124080e-13	1.3920743182e-05	8.2646516415e+09	-8.4471267199e+09	1.8247507839e+08	4.9915254455e-02	4.5851803991e-20	6.8033469111e-08
1.0715193052e-12	8.4388767462e+09	3.6560909457e-08	1.8429182230e-08	-4.7039684870e+06	1.1097556014e+07	-8.4499743022e+09	3.9941569678e-21	8.6251474620e-07	1.5452159820e-05	5.0631137218e-07	1.0093335414e-07	4.1978030367e-07	1.6985326895e-13	1.4553084164e-05	8.2624413190e+09	-8.4435807147e+09	1.8113939569e+08	5.0807003425e-02	5.0366507183e-20	6.8101716424e-08
1.0964781961e-12	8.4352517064e+09	3.9182660486e-08	1.8427545579e-08	-4.7019473441e+06	1.1091916828e+07	-8.4463436233e+09	4.3541764244e-21	8.7878113075e-07	1.6130054130e-05	5.2052231600e-07	1.0091663399e-07	4.3393504261e-07	1.7992013271e-13	1.5212090339e-05	8.2601702001e+09	-8.4399536538e+09	1.7978345368e+08	5.1707529621e-02	5.5317961262e-20	6.8159547888e-08
1.1220184543e-12	8.4315438410e+09	4.1986773193e-08	1.8424818481e-08	-4.6998800224e+06	1.1086148866e+07	-8.4426299899e+09	4.7443204468e-21	8.9522117655e-07	1.6835983833e-05	5.3506149138e-07	1.0089482159e-07	4.4842874403e-07	1.9049124403e-13	1.5898775883e-05	8.2578365207e+09	-8.4362437211e+09	1.7840720031e+08	5.2616593592e-02	6.0747686640e-20	6.8207738385e-08
1.1481536215e-12	8.4277512960e+09	4.4985523175e-08	1.8421075328e-08	-4.6977654881e+06	1.1080249250e+07	-8.4388315452e+09	5.1669056460e-21	9.1183133598e-07	1.7571003643e-05	5.4993575074e-07	1.0086824489e-07	4.6326744128e-07	2.0158654611e-13	1.6614186784e-05	8.2554384651e+09	-8.4324490615e+09	1.7701059633e+08	5.3533936917e-02	6.6701080221e-20	6.8247032546e-08
1.1748975549e-12	8.4238721776e+09	4.8191980650e-08	1.8416384873e-08	-4.6956026846e+06	1.1074215038e+07	-8.4349463927e+09	5.6244106650e-21	9.2860774968e-07	1.8336201113e-05	5.6515212277e-07	1.0083720654e-07	4.7845738483e-07	2.1322651875e-13	1.7359401383e-05	8.2529741643e+09	-8.4285677803e+09	1.7559361594e+08	5.4459281576e-02	7.3227770213e-20	6.8278139839e-08
1.2022644346e-12	8.4199045518e+09	5.1620059283e-08	1.8410811105e-08	-4.6933905334e+06	1.1068043227e+07	-8.4309725950e+09	6.1194863334e-21	9.4554623593e-07	1.9132697186e-05	5.8071781131e-07	1.0080198773e-07	4.9400504228e-07	2.2543218544e-13	1.8135530891e-05	8.2504416948e+09	-8.4245979423e+09	1.7415624741e+08	5.5392329309e-02	8.0382002632e-20	6.8301732491e-08
