Time            	C4              	C2              	S0              	C2H4O           	E1              	E3              	E2              	CH2O            	A2              	B1              	B2              	B3              	A1              	M1              	M2              	M3              	M4              	M5              	M6              	C3              
0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.0000000000e-12	2.5000000000e+00	2.5000000000e+00	3.3182718596e-03	0.0000000000e+00	3.7169837272e-01	1.4803273045e-18	2.9103611672e-05	0.0000000000e+00	3.0298269096e-16	6.2441972206e-01	5.3452974824e-04	4.5143371054e-13	5.7511362362e-19	1.8427358062e-18	7.0943893517e-18	7.5914798034e-24	2.8987647874e-15	9.7140396133e-18	9.8443405611e-29	0.0000000000e+00
1.0232929923e-12	2.5000000000e+00	2.5000000000e+00	3.2954346218e-03	0.0000000000e+00	3.6914024451e-01	1.5131059530e-18	2.9691694337e-05	0.0000000000e+00	3.1788326231e-16	6.2698863223e-01	5.4599694663e-04	4.7139283689e-13	5.8834546075e-19	1.8921745158e-18	7.4988885586e-18	8.2111753387e-24	3.1071818670e-15	1.0670374577e-17	1.1078750330e-28	0.0000000000e+00
1.0471285481e-12	2.5000000000e+00	2.5000000000e+00	3.2722281348e-03	0.0000000000e+00	3.6654075462e-01	1.5464079927e-18	3.0289164145e-05	0.0000000000e+00	3.3349772343e-16	6.2959905200e-01	5.5767608292e-04	4.9218663330e-13	6.0178860524e-19	1.9424245164e-18	7.9238001323e-18	8.8771516101e-24	3.3301515114e-15	1.1719277040e-17	1.2466162434e-28	0.0000000000e+00
1.0715193052e-12	2.5000000000e+00	2.5000000000e+00	3.2486502657e-03	0.0000000000e+00	3.6389966412e-01	1.5802360651e-18	3.0896068392e-05	0.0000000000e+00	3.4985954306e-16	6.3225121995e-01	5.6956959298e-04	5.1384698294e-13	6.1544412373e-19	1.9934901255e-18	8.3700352906e-18	9.5925249853e-24	3.5686582227e-15	1.2869557685e-17	1.4025330837e-28	0.0000000000e+00
1.0964781961e-12	2.5000000000e+00	2.5000000000e+00	3.2246990599e-03	0.0000000000e+00	3.6121675406e-01	1.6145925373e-18	3.1512449429e-05	0.0000000000e+00	3.6700371728e-16	6.3494535457e-01	5.8167986159e-04	5.3640678093e-13	6.2931297251e-19	2.0453753928e-18	8.8385415335e-18	1.0360596735e-23	3.8237506067e-15	1.4130851206e-17	1.5777283049e-28	0.0000000000e+00
1.1220184543e-12	2.5000000000e+00	2.5000000000e+00	3.2003727515e-03	0.0000000000e+00	3.5849182663e-01	1.6494794869e-18	3.2138344391e-05	0.0000000000e+00	3.8496683591e-16	6.3768165305e-01	5.9400921710e-04	5.5989995159e-13	6.4339599121e-19	2.0980840663e-18	9.3303038934e-18	1.1184862240e-23	4.0965453353e-15	1.5513691865e-17	1.7745592678e-28	0.0000000000e+00
1.1481536215e-12	2.5000000000e+00	2.5000000000e+00	3.1756697738e-03	0.0000000000e+00	3.5572470635e-01	1.6848986860e-18	3.2773784911e-05	0.0000000000e+00	4.0378715153e-16	6.4046029016e-01	6.0655992584e-04	5.8436146479e-13	6.5769389635e-19	2.1516195641e-18	9.8463462093e-18	1.2069020526e-23	4.3882313334e-15	1.7029595842e-17	1.9956684216e-28	0.0000000000e+00
1.1748975549e-12	2.5000000000e+00	2.5000000000e+00	3.1505887701e-03	0.0000000000e+00	3.5291524124e-01	1.7208515847e-18	3.3418796831e-05	0.0000000000e+00	4.2350465119e-16	6.4328141701e-01	6.1933418632e-04	6.0982735121e-13	6.7220727470e-19	2.2059849398e-18	1.0387732436e-17	1.3016984134e-23	4.7000742033e-15	1.8691150925e-17	2.2440173934e-28	0.0000000000e+00
1.2022644346e-12	2.5000000000e+00	2.5000000000e+00	3.1251286048e-03	0.0000000000e+00	3.5006330409e-01	1.7573392947e-18	3.4073399905e-05	0.0000000000e+00	4.4416113088e-16	6.4614515978e-01	6.3233412312e-04	6.3633471648e-13	6.8693657660e-19	2.2611828532e-18	1.0955567972e-17	1.4032889311e-23	5.0334208983e-15	2.0512114207e-17	2.5229250981e-28	0.0000000000e+00
