Time            	C4              	C2              	S0              	C2H4O           	E1              	E3              	E2              	CH2O            	A2              	B1              	B2              	B3              	A1              	M1              	M2              	M3              	M4              	M5              	M6              	C3              
0.0000000000e+00	-3.3500000000e+13	-3.3500000000e+13	-6.7000000000e+13	0.0000000000e+00	3.3500000000e+13	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.3500000000e+13	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.0000000000e-12	-1.1116209174e+11	1.1017826851e+11	-9.8382322831e+08	9.4207551921e-03	-1.1020360551e+11	1.4122344018e-06	2.5337002320e+07	1.9836385880e-05	6.3209015783e-04	1.1066864404e+11	4.9344769808e+08	8.4913993794e-01	5.7007948893e-07	2.1295440560e-06	1.7136736384e-05	2.5951245800e-11	8.7490228002e-03	3.9642234048e-05	5.0536293202e-16	4.9129365669e-17
1.0232929923e-12	-1.1039704421e+11	1.0941999196e+11	-9.7705224662e+08	9.8372726978e-03	-1.0944514955e+11	1.4022414368e-06	2.5157589678e+07	2.0275619770e-05	6.4731083656e-04	1.0990588628e+11	4.9115792847e+08	8.6457283106e-01	5.6604683513e-07	2.1154065259e-06	1.7594139148e-05	2.7261108422e-11	9.1474694068e-03	4.2492454489e-05	5.5511053960e-16	5.3139934891e-17
1.0471285481e-12	-1.0961962683e+11	1.0864945504e+11	-9.7017178678e+08	1.0271208536e-02	-1.0867443032e+11	1.3920866888e-06	2.4975276938e+07	2.0721867103e-05	6.6286840062e-04	1.0913080809e+11	4.8881874018e+08	8.8016476596e-01	5.6194882726e-07	2.1009934150e-06	1.8058896237e-05	2.8623432525e-11	9.5627984458e-03	4.5541689414e-05	6.0967281918e-16	5.7450042407e-17
1.0715193052e-12	-1.0882976815e+11	1.0786658693e+11	-9.6318121636e+08	1.0723228061e-02	-1.0789137698e+11	1.3817692836e-06	2.4790047390e+07	2.1175163272e-05	6.7876932187e-04	1.0834333887e+11	4.8642928158e+08	8.9591153173e-01	5.5778512731e-07	2.0863101510e-06	1.8531037954e-05	3.0039605542e-11	9.9956553364e-03	4.8803402441e-05	6.6950796214e-16	6.2079860323e-17
1.0964781961e-12	-1.0802740269e+11	1.0707132273e+11	-9.5607995585e+08	1.1194017745e-02	-1.0709592462e+11	1.3712884123e-06	2.4601885730e+07	2.1635539999e-05	6.9502012802e-04	1.0754341399e+11	4.8398870096e+08	9.1180855044e-01	5.5355542053e-07	2.0713613706e-06	1.9010591697e-05	3.1511014884e-11	1.0446705683e-02	5.2291933845e-05	7.3511700227e-16	6.7050757933e-17
1.1220184543e-12	-1.0721247129e+11	1.0626360381e+11	-9.4886748168e+08	1.1684285539e-02	-1.0628801458e+11	1.3606433393e-06	2.4410778138e+07	2.2103025125e-05	7.1162739798e-04	1.0673097514e+11	4.8149614760e+08	9.2785086276e-01	5.4925941905e-07	2.0561510300e-06	1.9497581636e-05	3.3039045365e-11	1.0916635586e-02	5.6022554737e-05	8.0704774354e-16	7.2385361383e-17
1.1481536215e-12	-1.0638492147e+11	1.0544337814e+11	-9.4154332936e+08	1.2194761213e-02	-1.0546759485e+11	1.3498334081e-06	2.4216712362e+07	2.2577642392e-05	7.2859775686e-04	1.0590597069e+11	4.7895077301e+08	9.4403311341e-01	5.4489686473e-07	2.0406824712e-06	1.9992028431e-05	3.4625076434e-11	1.1406151932e-02	6.0011524333e-05	8.8589903985e-16	7.8107615456e-17
1.1748975549e-12	-1.0554470777e+11	1.0461060068e+11	-9.3410709664e+08	1.2726196673e-02	-1.0463462035e+11	1.3388580481e-06	2.4019677802e+07	2.3059411235e-05	7.4593787052e-04	1.0506835604e+11	4.7635173215e+08	9.6034953645e-01	5.4046753263e-07	2.0249585391e-06	2.0493948893e-05	3.6270479270e-11	1.1915982652e-02	6.4276150456e-05	9.7232545687e-16	8.4242847525e-17
1.2022644346e-12	-1.0469179216e+11	1.0376523372e+11	-9.2655844680e+08	1.3279366259e-02	-1.0378905338e+11	1.3277167805e-06	2.3819665596e+07	2.3548346550e-05	7.6365443962e-04	1.0421809398e+11	4.7369818486e+08	9.7679394036e-01	5.3597123346e-07	2.0089816385e-06	2.1003355701e-05	3.7976613674e-11	1.2446876966e-02	6.8834853444e-05	1.0670423496e-15	9.0817833641e-17
1.2302687708e-12	-1.0382614437e+11	1.0290724726e+11	-9.1889711196e+08	1.3855067010e-02	-1.0293086392e+11	1.3164092248e-06	2.3616668710e+07	2.4044458470e-05	7.8175419322e-04	1.0335515507e+11	4.7098929726e+08	9.9335969315e-01	5.3140781662e-07	1.9927538338e-06	2.1520257074e-05	3.9744824811e-11	1.2999605583e-02	7.3707233617e-05	1.1708313909e-15	9.7860866789e-17
1.2589254118e-12	-1.0294774229e+11	1.0203661939e+11	-9.1112289652e+08	1.4454118896e-02	-1.0206003007e+11	1.3049351041e-06	2.3410682025e+07	2.4547752135e-05	8.0024388178e-04	1.0247951804e+11	4.6822424327e+08	1.0100397073e+00	5.2677717259e-07	1.9762769047e-06	2.2044656481e-05	4.1576439765e-11	1.3574960871e-02	7.8914142464e-05	1.2845465909e-15	1.0540182727e-16
1.2882495517e-12	-1.0205657237e+11	1.0115333669e+11	-9.0323568056e+08	1.5077365024e-02	-1.0117653839e+11	1.2932942515e-06	2.3201702434e+07	2.5058227455e-05	8.1913026971e-04	1.0159117016e+11	4.6540220629e+08	1.0268264247e+00	5.2207923558e-07	1.9595524212e-06	2.2576552325e-05	4.3472763922e-11	1.4173756997e-02	8.4477757745e-05	1.4091208477e-15	1.1347225518e-16
1.3182567386e-12	-1.0115263003e+11	1.0025739461e+11	-8.9523542343e+08	1.5725671799e-02	-1.0028038433e+11	1.2814866152e-06	2.2989728932e+07	2.5575878868e-05	8.3842012724e-04	1.0069010765e+11	4.6252238089e+08	1.0437118017e+00	5.1731398589e-07	1.9425817967e-06	2.3115937650e-05	4.5435077184e-11	1.4796830010e-02	9.0421662655e-05	1.5455730769e-15	1.2210542506e-16
1.3489628826e-12	-1.0023592002e+11	9.9348797857e+10	-8.8712216733e+08	1.6399929046e-02	-9.9371572620e+10	1.2695122649e-06	2.2774762710e+07	2.6100695099e-05	8.5812022180e-04	9.9776336049e+10	4.5958397461e+08	1.0606872939e+00	5.1248145251e-07	1.9253663563e-06	2.3662799826e-05	4.7464630017e-11	1.5445037895e-02	9.6770929254e-05	1.6950159674e-15	1.3133642245e-16
1.3803842646e-12	-9.9306456895e+10	9.8427560854e+10	-8.7889604090e+08	1.7101050081e-02	-9.8450117662e+10	1.2573713971e-06	2.2556807255e+07	2.6632658913e-05	8.7823730867e-04	9.8849870684e+10	4.5658620993e+08	1.0777438419e+00	5.0758171532e-07	1.9079073752e-06	2.4217120260e-05	4.9562639320e-11	1.6119260566e-02	1.0355220634e-04	1.8586644175e-15	1.4120222263e-16
1.4125375446e-12	-9.8364265364e+10	9.7493708101e+10	-8.7055726295e+08	1.7829971741e-02	-9.7516043970e+10	1.2450643408e-06	2.2335868447e+07	2.7171746862e-05	8.9877812102e-04	9.7910737037e+10	4.5352832624e+08	1.0948718557e+00	5.0261490749e-07	1.8902061236e-06	2.4778874100e-05	5.1730284137e-11	1.6820399808e-02	1.1079381197e-04	2.0378447087e-15	1.5174177112e-16
1.4454397707e-12	-9.7409380762e+10	9.6547274616e+10	-8.6210614617e+08	1.8587654352e-02	-9.6569386570e+10	1.2325915631e-06	2.2111954654e+07	2.7717929034e-05	9.1974935930e-04	9.6958971179e+10	4.5040958199e+08	1.1120612012e+00	4.9758121791e-07	1.8722639140e-06	2.5348029933e-05	5.3968701214e-11	1.7549379162e-02	1.1852583077e-04	2.2340044801e-15	1.6299606619e-16
1.4791083882e-12	-9.6441849452e+10	9.5588306351e+10	-8.5354310090e+08	1.9375081640e-02	-9.5610191427e+10	1.2199536755e-06	2.1885076838e+07	2.8271168797e-05	9.4115767981e-04	9.5994620193e+10	4.4722925692e+08	1.1293011854e+00	4.9248089344e-07	1.8540821329e-06	2.5924549491e-05	5.6278980405e-11	1.8307143744e-02	1.2678021630e-04	2.4487235686e-15	1.7500824311e-16
1.5135612484e-12	-9.5461729258e+10	9.4616860619e+10	-8.4486863891e+08	2.0193260576e-02	-9.4638515867e+10	1.2071514386e-06	2.1655248649e+07	2.8831422542e-05	9.6300968264e-04	9.5017742602e+10	4.4398665439e+08	1.1465805428e+00	4.8731424129e-07	1.8356622732e-06	2.6508387365e-05	5.8662159924e-11	1.9094659995e-02	1.3559089866e-04	2.6837257886e-15	1.8782366007e-16
1.5488166189e-12	-9.4469089896e+10	9.3633006519e+10	-8.3608337722e+08	2.1043221155e-02	-9.3654429005e+10	1.1941857689e-06	2.1422486532e+07	2.9398639423e-05	9.8531189875e-04	9.4028408791e+10	4.4068110384e+08	1.1638874222e+00	4.8208163132e-07	1.8170059627e-06	2.7099490710e-05	6.1119221470e-11	1.9912915359e-02	1.4499389744e-04	2.9408917303e-15	2.0148998574e-16
1.5848931925e-12	-9.3464013405e+10	9.2636825363e+10	-8.2718804189e+08	2.1926016096e-02	-9.2658012173e+10	1.1810577435e-06	2.1186809823e+07	2.9972761099e-05	1.0080707763e-03	9.3026701441e+10	4.3731196336e+08	1.1812093737e+00	4.7678349833e-07	1.7981149896e-06	2.7697798960e-05	6.3651085226e-11	2.0762917880e-02	1.5502744040e-04	3.2222726583e-15	2.1605728825e-16
1.6218100974e-12	-9.2446594581e+10	9.1628411109e+10	-8.1818347192e+08	2.2842720463e-02	-9.1649359350e+10	1.1677686066e-06	2.0948240856e+07	3.0553721472e-05	1.0312926663e-03	9.2012715957e+10	4.3387862235e+08	1.1985333365e+00	4.7142034444e-07	1.7789913241e-06	2.8303243544e-05	6.6258604741e-11	2.1645695709e-02	1.6573208788e-04	3.5301056040e-15	2.3157812552e-16
1.6595869074e-12	-9.1416941405e+10	9.0607870782e+10	-8.0907062297e+08	2.3794431200e-02	-9.0628577587e+10	1.1543197746e-06	2.0706805060e+07	3.1141446428e-05	1.0549838068e-03	9.0986560899e+10	4.3038050428e+08	1.2158456276e+00	4.6599274129e-07	1.7596371391e-06	2.8915747605e-05	6.8942561710e-11	2.2562296530e-02	1.7715086330e-04	3.8668297476e-15	2.4810763677e-16
1.6982436525e-12	-9.0375175477e+10	8.9575324906e+10	-7.9985057128e+08	2.4782266574e-02	-8.9595787437e+10	1.1407128421e-06	2.0462531061e+07	3.1735853579e-05	1.0791503070e-03	8.9948358406e+10	4.2681706965e+08	1.2331319307e+00	4.6050133240e-07	1.7400548272e-06	2.9535225715e-05	7.1703660670e-11	2.3513786878e-02	1.8932938985e-04	4.2351041964e-15	2.6570363503e-16
1.7378008287e-12	-8.9321432443e+10	8.8530907926e+10	-7.9052451734e+08	2.5807365517e-02	-8.8551123376e+10	1.1269495872e-06	2.0215450784e+07	3.2336852004e-05	1.1037981303e-03	8.8898244623e+10	4.2318781893e+08	1.2503772866e+00	4.5494683540e-07	1.7202470173e-06	3.0161583608e-05	7.4542523618e-11	2.4501251353e-02	2.0231603365e-04	4.6378272723e-15	2.8442670051e-16
1.7782794100e-12	-8.8255862414e+10	8.7474768624e+10	-7.8109378971e+08	2.6870886863e-02	-8.7494734224e+10	1.1130319774e-06	1.9965599550e+07	3.2944341996e-05	1.1289330755e-03	8.7836370117e+10	4.1949229574e+08	1.2675660843e+00	4.4933004427e-07	1.7002165880e-06	3.0794717904e-05	7.7459684579e-11	2.5525791734e-02	2.1616205347e-04	5.0781574308e-15	3.0434027455e-16
1.8197008586e-12	-8.7178630386e+10	8.6407070537e+10	-7.7155984867e+08	2.7974008475e-02	-8.6426783553e+10	1.0989621747e-06	1.9713016175e+07	3.3558214812e-05	1.1545607583e-03	8.6762900294e+10	4.1573009004e+08	1.2846820533e+00	4.4365183153e-07	1.6799666813e-06	3.1434515843e-05	8.0455584138e-11	2.6588525960e-02	2.3092175729e-04	5.5595359422e-15	3.2551075407e-16
1.8620871367e-12	-8.6089916648e+10	8.5327992358e+10	-7.6192428987e+08	2.9117926254e-02	-8.5347450101e+10	1.0847425412e-06	1.9457743067e+07	3.4178352420e-05	1.1806865909e-03	8.5678015805e+10	4.1190084146e+08	1.3017082571e+00	4.3791315045e-07	1.6595007133e-06	3.2080855025e-05	8.3530563944e-11	2.7690586998e-02	2.4665266585e-04	6.0857114768e-15	3.4800758615e-16
1.9054607180e-12	-8.4989917185e+10	8.4237728337e+10	-7.5218884783e+08	3.0303853018e-02	-8.4256928163e+10	1.0703756443e-06	1.9199826316e+07	3.4804627263e-05	1.2073157615e-03	8.4581912940e+10	4.0800424279e+08	1.3186270883e+00	4.3211503711e-07	1.6388223860e-06	3.2733603155e-05	8.6684861236e-11	2.8833121573e-02	2.6341568339e-04	6.6607667453e-15	3.7190336260e-16
1.9498445998e-12	-8.3878844065e+10	8.3136488666e+10	-7.4235539946e+08	3.1533017248e-02	-8.3155427982e+10	1.0558642616e-06	1.8939315793e+07	3.5436902022e-05	1.2344532113e-03	8.3474804021e+10	4.0404004346e+08	1.3354202645e+00	4.2625861249e-07	1.6179356960e-06	3.3392617794e-05	8.9918603380e-11	3.0017288761e-02	2.8127527563e-04	7.2891473565e-15	3.9727391418e-16
1.9952623150e-12	-8.2756925823e+10	8.2024499855e+10	-7.3242596736e+08	3.2806661704e-02	-8.2043176120e+10	1.0412113861e-06	1.8676265231e+07	3.6075029383e-05	1.2621036122e-03	8.2356917768e+10	4.0000805322e+08	1.3520688268e+00	4.2034508447e-07	1.5968449440e-06	3.4057746123e-05	9.3231802465e-11	3.1244258436e-02	3.0029965532e-04	7.9756930675e-15	4.2419840433e-16
2.0417379447e-12	-8.1624407816e+10	8.0902005093e+10	-7.2240272308e+08	3.4126041879e-02	-8.0920415825e+10	1.0264202311e-06	1.8410732316e+07	3.6718851823e-05	1.2902713421e-03	8.1228499669e+10	3.9590814584e+08	1.3685531396e+00	4.1437574975e-07	1.5755547429e-06	3.4728824705e-05	9.6624349976e-11	3.2515209561e-02	3.2056097534e-04	8.7256716124e-15	4.5275942192e-16
2.0892961309e-12	-8.0481552581e+10	7.9769264591e+10	-7.1228799016e+08	3.5492424309e-02	-7.9787407369e+10	1.0114942341e-06	1.8142778767e+07	3.7368201391e-05	1.3189604600e-03	8.0089812316e+10	3.9174026293e+08	1.3848528917e+00	4.0835199569e-07	1.5540700252e-06	3.5405679274e-05	1.0009601157e-10	3.3831328319e-02	3.4213552960e-04	9.5448153115e-15	4.8304307287e-16
2.1379620895e-12	-7.9328640158e+10	7.8626555911e+10	-7.0208424706e+08	3.6907084716e-02	-7.8644428382e+10	9.9643706197e-07	1.7872470412e+07	3.8022899514e-05	1.3481746792e-03	7.8941135739e+10	3.8750441785e+08	1.4009471010e+00	4.0227530203e-07	1.5323960506e-06	3.6088124515e-05	1.0364642197e-10	3.5193806075e-02	3.6510396170e-04	1.0439360673e-14	5.1513907039e-16
2.1877616239e-12	-7.8165968405e+10	7.7474174275e+10	-6.9179413001e+08	3.8371305985e-02	-7.7491774152e+10	9.8125261432e-07	1.7599877262e+07	3.8682756805e-05	1.3779173403e-03	7.7782767703e+10	3.8320069962e+08	1.4168141200e+00	3.9614724256e-07	1.5105384115e-06	3.6775963875e-05	1.0727508007e-10	3.6603837163e-02	3.8955148157e-04	1.1416091222e-14	5.4914082311e-16
2.2387211386e-12	-7.6993853280e+10	7.6312432845e+10	-6.8142043526e+08	3.9886375962e-02	-7.6329757918e+10	9.6594502762e-07	1.7325073580e+07	3.9347572886e-05	1.4081913826e-03	7.6615024001e+10	3.7882927699e+08	1.4324316444e+00	3.8996948662e-07	1.4885030396e-06	3.7468989378e-05	1.1098134414e-10	3.8062616489e-02	4.1556809006e-04	1.2482383790e-14	5.8514552142e-16
2.2908676528e-12	-7.5812629110e+10	7.5141662989e+10	-6.7096612184e+08	4.1453585068e-02	-7.5158711127e+10	9.5051867856e-07	1.7048137941e+07	4.0017136228e-05	1.4389993142e-03	7.5438238706e+10	3.7439040246e+08	1.4477767239e+00	3.8374380048e-07	1.4662962105e-06	3.8166981452e-05	1.1476442735e-10	3.9571336942e-02	4.4324881152e-04	1.3646258549e-14	6.2325422101e-16
2.3442288153e-12	-7.4622648825e+10	7.3962214512e+10	-6.6043431313e+08	4.3074223725e-02	-7.3978983665e+10	9.3497818712e-07	1.6769153287e+07	4.0691224007e-05	1.4703431817e-03	7.4252764407e+10	3.6988441642e+08	1.4628257767e+00	3.7747204861e-07	1.4439245491e-06	3.8869708785e-05	1.1862339349e-10	4.1131186609e-02	4.7269393440e-04	1.4916433044e-14	6.6357192367e-16
2.3988329190e-12	-7.3424284163e+10	7.2774455864e+10	-6.4982829923e+08	4.4749579585e-02	-7.2790944071e+10	9.1932841927e-07	1.6488206977e+07	4.1369601972e-05	1.5022245383e-03	7.3058972411e+10	3.6531175127e+08	1.4775546053e+00	3.7115619477e-07	1.4213950330e-06	3.9576928186e-05	1.2255715301e-10	4.2743345787e-02	5.0400925981e-04	1.6302380541e-14	7.0620765486e-16
2.4547089157e-12	-7.2217925848e+10	7.1578774309e+10	-6.3915153879e+08	4.6480934552e-02	-7.1594979700e+10	9.0357448932e-07	1.6205390830e+07	4.2052024336e-05	1.5346444113e-03	7.1857252911e+10	3.6067293555e+08	1.4919384168e+00	3.6479830292e-07	1.3987149959e-06	4.0288384471e-05	1.2656445933e-10	4.4408983783e-02	5.3730635797e-04	1.7814393008e-14	7.5127453758e-16
2.5118864315e-12	-7.1003983728e+10	7.0375576069e+10	-6.2840765834e+08	4.8269561600e-02	-7.0391496870e+10	8.8772176170e-07	1.5920801151e+07	4.2738233689e-05	1.5676032678e-03	7.0648015128e+10	3.5596859808e+08	1.5059518460e+00	3.5840053796e-07	1.3758921310e-06	4.1003810375e-05	1.3064390558e-10	4.6129255500e-02	5.7270283239e-04	1.9463649052e-14	7.9888986233e-16
