Time            	A2              	E1              	E2              	E3              	B1              	M3              	B3              	M1              	M2              	M4              	B2              	C4              	M5              	M6              	CH2O            	C3              	C2              	C2H4O           	S0              	A1              
0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00
1.0000000000e-12	2.1265249363e-13	1.5996024038e-02	2.3585080331e-05	1.1492188084e-17	9.8069576832e-01	3.3475967938e-22	6.1089090424e-12	1.5741163101e-17	9.1158502806e-17	8.7290407698e-13	1.6013058201e-03	2.5000000000e+00	5.1931573482e-15	3.7652493721e-25	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.6833167320e-03	4.5758776346e-18
1.0232929923e-12	2.2565688531e-13	1.4765270203e-02	2.3642300936e-05	1.1530134183e-17	9.8202267632e-01	3.5680844938e-22	6.3616516892e-12	1.5838673080e-17	9.4915935678e-17	9.3460210165e-13	1.6346076800e-03	2.5000000000e+00	5.7028935810e-15	4.2381313497e-25	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.5538034868e-03	4.5927937156e-18
1.0471285481e-12	2.3942863259e-13	1.3603821969e-02	2.3695760408e-05	1.1565678113e-17	9.8327264719e-01	3.8005488667e-22	6.6229560326e-12	1.5930981263e-17	9.8782459398e-17	1.0004086889e-12	1.6682517445e-03	2.5000000000e+00	6.2612998360e-15	4.7694539760e-25	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.4315833272e-03	4.6086510835e-18
1.0715193052e-12	2.5401011378e-13	1.2509841916e-02	2.3745550767e-05	1.1598879727e-17	9.8444772364e-01	4.0454652543e-22	6.8929816497e-12	1.6018219404e-17	1.0275976984e-16	1.0705747412e-12	1.7022259875e-03	2.5000000000e+00	6.8728677458e-15	5.3663084303e-25	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.3164629002e-03	4.6234762619e-18
1.0964781961e-12	2.6944577056e-13	1.1481397655e-02	2.3791768897e-05	1.1629802039e-17	9.8555005397e-01	4.3033174871e-22	7.1718819913e-12	1.6100528371e-17	1.0684958565e-16	1.1453644673e-12	1.7365177351e-03	2.5000000000e+00	7.5424857177e-15	6.0366280471e-25	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.2082388586e-03	4.6372971752e-18
1.1220184543e-12	2.8578218384e-13	1.0516470766e-02	2.3834516073e-05	1.1658510916e-17	9.8658188224e-01	4.5745975080e-22	7.4598036285e-12	1.6178057234e-17	1.1105365149e-16	1.2250559140e-12	1.7711136686e-03	2.5000000000e+00	8.2754719867e-15	6.7892857833e-25	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.1066988027e-03	4.6501430142e-18
1.1481536215e-12	3.0306815041e-13	9.6129661407e-03	2.3873897479e-05	1.1685074767e-17	9.8754553786e-01	4.8598049736e-22	7.7568854736e-12	1.6250962339e-17	1.1537374145e-16	1.3099415037e-12	1.8059998300e-03	2.5000000000e+00	9.0776102021e-15	7.6342026146e-25	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.0116222623e-03	4.6620440956e-18
1.1748975549e-12	3.2135475998e-13	8.7687216467e-03	2.3910021704e-05	1.1709564213e-17	9.8844342498e-01	5.1594468361e-22	8.0632579762e-12	1.6319406377e-17	1.1981166247e-16	1.4003285774e-12	1.8411616273e-03	2.5000000000e+00	9.9551877209e-15	8.5824680406e-25	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	9.2278171460e-04	4.6730317173e-18
1.2022644346e-12	3.4069547254e-13	7.9815180561e-03	2.3943000217e-05	1.1732051752e-17	9.8927801146e-01	5.4740369068e-22	8.3790422951e-12	1.6383557456e-17	1.2436925784e-16	1.4965399409e-12	1.8765838423e-03	2.5000000000e+00	1.0915036787e-14	9.6464739942e-25	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.3994362833e-04	4.6831380098e-18
1.2302687708e-12	3.6114619572e-13	7.2490891611e-03	2.3972946848e-05	1.1752611421e-17	9.9005181771e-01	5.8040954046e-22	8.7043494493e-12	1.6443588171e-17	1.2904841074e-16	1.5989144133e-12	1.9122506394e-03	2.5000000000e+00	1.1964578789e-14	1.0840063591e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	7.6286952855e-04	4.6923957857e-18
1.2589254118e-12	3.8276536194e-13	6.5691320052e-03	2.3999977247e-05	1.1771318446e-17	9.9076740536e-01	6.1501484896e-22	9.0392794501e-12	1.6499674687e-17	1.3385104783e-16	1.7078073752e-12	1.9481455760e-03	2.5000000000e+00	1.3111871791e-14	1.2178696291e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	6.9131707328e-04	4.7008383865e-18
1.2882495517e-12	4.0561400508e-13	5.9393171535e-03	2.4024208353e-05	1.1788248899e-17	9.9142736588e-01	6.5127277856e-22	9.3839204159e-12	1.6551995832e-17	1.3877914281e-16	1.8235913155e-12	1.9842516142e-03	2.5000000000e+00	1.4365661553e-14	1.3679631210e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	6.2504113414e-04	4.7084995296e-18
1.3182567386e-12	4.2975583626e-13	5.3572989241e-03	2.4045757855e-05	1.1803479353e-17	9.9203430930e-01	6.8923698929e-22	9.7383476740e-12	1.6600732214e-17	1.4383471999e-16	1.9466563738e-12	2.0205511337e-03	2.5000000000e+00	1.5735436256e-14	1.5362130486e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	5.6379487309e-04	4.7154131563e-18
1.3489628826e-12	4.5525731855e-13	4.8207255030e-03	2.4064743671e-05	1.1817086542e-17	9.9259085299e-01	7.2896158953e-22	1.0102622851e-11	1.6646065354e-17	1.4901985785e-16	2.0774108770e-12	2.0570259466e-03	2.5000000000e+00	1.7231485163e-14	1.7247684806e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	5.0733080680e-04	4.7216132808e-18
1.3803842646e-12	4.8218774025e-13	4.3272488663e-03	2.4081283421e-05	1.1829147025e-17	9.9309961067e-01	7.7050108627e-22	1.0476792956e-11	1.6688176852e-17	1.5433669256e-16	2.2162818671e-12	2.0936573132e-03	2.5000000000e+00	1.8864961464e-14	1.9360263385e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	4.5540185078e-04	4.7271338424e-18
1.4125375446e-12	5.1061928619e-13	3.8745344339e-03	2.4095493931e-05	1.1839736864e-17	9.9356318176e-01	8.1391033525e-22	1.0860889460e-11	1.6727247582e-17	1.5978742142e-16	2.3637156181e-12	2.1304259596e-03	2.5000000000e+00	2.0647949537e-14	2.1726590949e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	4.0776233521e-04	4.7320085622e-18
1.4454397707e-12	5.4062710692e-13	3.4602703815e-03	2.4107490744e-05	1.1848931306e-17	9.9398414103e-01	8.5924449137e-22	1.1254927379e-11	1.6763456922e-17	1.6537430624e-16	2.5201781386e-12	2.1673120961e-03	2.5000000000e+00	2.2593536916e-14	2.4376454475e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	3.6416898495e-04	4.7362708041e-18
1.4791083882e-12	5.7228938523e-13	3.0821765430e-03	2.4117387652e-05	1.1856804489e-17	9.9436502876e-01	9.0655895958e-22	1.1658904354e-11	1.6796982031e-17	1.7109967666e-16	2.6861556582e-12	2.2042954381e-03	2.5000000000e+00	2.4715891214e-14	2.7343042755e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	3.2438185620e-04	4.7399534427e-18
1.5135612484e-12	6.0568739953e-13	2.7380128364e-03	2.4125296259e-05	1.1863429151e-17	9.9470834140e-01	9.5590934651e-22	1.2072799750e-11	1.6827997161e-17	1.7696593332e-16	2.8621550930e-12	2.2413552275e-03	2.5000000000e+00	2.7030342301e-14	3.0663322121e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	2.8816522329e-04	4.7430887375e-18
1.5488166189e-12	6.4090558379e-13	2.4255871552e-03	2.4131325570e-05	1.1868876372e-17	9.9501652284e-01	1.0073514134e-21	1.2496573762e-11	1.6856673025e-17	1.8297555095e-16	3.0487044898e-12	2.2784702556e-03	2.5000000000e+00	2.9553470019e-14	3.4378451971e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	2.5528840905e-04	4.7457082154e-18
1.5848931925e-12	6.7803158346e-13	2.1427626713e-03	2.4135581604e-05	1.1873215323e-17	9.9529195629e-01	1.0609410303e-21	1.2930166547e-11	1.6883176209e-17	1.8913108134e-16	3.2463534419e-12	2.3156188883e-03	2.5000000000e+00	3.2303197756e-14	3.8534244133e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	2.2552655328e-04	4.7478425624e-18
1.6218100974e-12	7.1715630689e-13	1.8874645017e-03	2.4138167049e-05	1.1876513041e-17	9.9553695691e-01	1.1167341322e-21	1.3373497372e-11	1.6907668646e-17	1.9543515617e-16	3.4556734767e-12	2.3527790920e-03	2.5000000000e+00	3.5298892176e-14	4.3181670413e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.9866131433e-04	4.7495215239e-18
1.6595869074e-12	7.5837397173e-13	1.6576857003e-03	2.4139180948e-05	1.1878834230e-17	9.9575376514e-01	1.1747866772e-21	1.3826463805e-11	1.6930307134e-17	2.0189048968e-16	3.6772584088e-12	2.3899284609e-03	2.5000000000e+00	3.8561469450e-14	4.8377423145e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.7448149962e-04	4.7507738154e-18
1.6982436525e-12	8.0178214596e-13	1.4514925433e-03	2.4138718418e-05	1.1880241080e-17	9.9594454085e-01	1.2351546075e-21	1.4288940935e-11	1.6951242924e-17	2.0849988120e-16	3.9117246567e-12	2.4270442469e-03	2.5000000000e+00	4.2113508309e-14	5.4184533967e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.5278362178e-04	4.7516270437e-18
1.7378008287e-12	8.4748178272e-13	1.2670290842e-03	2.4136870418e-05	1.1880793115e-17	9.9611135826e-01	1.2978938121e-21	1.4760780636e-11	1.6970621359e-17	2.1526621753e-16	4.1597115182e-12	2.4641033895e-03	2.5000000000e+00	4.5979370273e-14	6.0673056534e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.3337237802e-04	4.7521076391e-18
1.7782794100e-12	8.9557724869e-13	1.1025209641e-03	2.4133723542e-05	1.1880547061e-17	9.9625620169e-01	1.3630600938e-21	1.5241810885e-11	1.6988581572e-17	2.2219247519e-16	4.4218814008e-12	2.5010825484e-03	2.5000000000e+00	5.0185327416e-14	6.7920819409e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.1606105110e-04	4.7522407982e-18
1.8197008586e-12	9.4617634532e-13	9.5627847128e-04	2.4129359860e-05	1.1879556748e-17	9.9638096218e-01	1.4307091390e-21	1.5731835135e-11	1.7005256253e-17	2.2928172244e-16	4.6989200043e-12	2.5379581373e-03	2.5000000000e+00	5.4759698019e-14	7.6014255937e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.0067183125e-04	4.7520504380e-18
1.8620871367e-12	9.9939032240e-13	8.2669885264e-04	2.4123856797e-05	1.1877873022e-17	9.9648743485e-01	1.5008964911e-21	1.6230631750e-11	1.7020771460e-17	2.3653712120e-16	4.9915364494e-12	2.5747063593e-03	2.5000000000e+00	5.9732990499e-14	8.5049318504e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.7036059441e-05	4.7515591616e-18
1.9054607180e-12	1.0553338834e-12	7.1226788840e-04	2.4117287047e-05	1.1875543703e-17	9.9657731716e-01	1.5736775279e-21	1.6737953513e-11	1.7035246501e-17	2.4396192881e-16	5.3004633510e-12	2.6113032437e-03	2.5000000000e+00	6.5138055978e-14	9.5132485268e-24	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	7.4994393078e-05	4.7507882339e-18
1.9498445998e-12	1.1141251821e-12	6.1156074860e-04	2.4109718525e-05	1.1872613543e-17	9.9665220793e-01	1.6491074433e-21	1.7253527216e-11	1.7048793866e-17	2.5155949962e-16	5.6264568304e-12	2.6477246848e-03	2.5000000000e+00	7.1010249899e-14	1.0638186812e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	6.4396896122e-05	4.7497575686e-18
1.9952623150e-12	1.1758858101e-12	5.2324215981e-04	2.4101214360e-05	1.1869124228e-17	9.9671360706e-01	1.7272412334e-21	1.7777053327e-11	1.7061519211e-17	2.5933328644e-16	5.9702964627e-12	2.6839464821e-03	2.5000000000e+00	7.7387603070e-14	1.1892843147e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	5.5103056649e-05	4.7484857254e-18
2.0417379447e-12	1.2407407739e-12	4.4606591566e-04	2.4091832913e-05	1.1865114391e-17	9.9676291611e-01	1.8081336877e-21	1.8308205755e-11	1.7073521400e-17	2.6728684187e-16	6.3327851571e-12	2.7199443820e-03	2.5000000000e+00	8.4311002534e-14	1.3291733218e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	4.6981735332e-05	4.7469899166e-18
2.0892961309e-12	1.3088184629e-12	3.7887377212e-04	2.4081627835e-05	1.1860619644e-17	9.9680143940e-01	1.8918393839e-21	1.8846631716e-11	1.7084892586e-17	2.7542381948e-16	6.7147489643e-12	2.7556941213e-03	2.5000000000e+00	9.1824382688e-14	1.4850939201e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	3.9911049195e-05	4.7452860230e-18
2.1379620895e-12	1.3802506053e-12	3.2059377458e-04	2.4070648154e-05	1.1855672639e-17	9.9683038588e-01	1.9784126895e-21	1.9391951705e-11	1.7095718342e-17	2.8374797488e-16	7.1170368094e-12	2.7911714725e-03	2.5000000000e+00	9.9974927041e-14	1.6588271470e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	3.3778195570e-05	4.7433886185e-18
2.1877616239e-12	1.4551722136e-12	2.7023806785e-04	2.4058938379e-05	1.1850303134e-17	9.9685087145e-01	2.0679077675e-21	1.9943759578e-11	1.7106077832e-17	2.9226316669e-16	7.5405201457e-12	2.8263522902e-03	2.5000000000e+00	1.0881328103e-13	1.8523446110e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	2.8479221639e-05	4.7413110018e-18
2.2387211386e-12	1.5337215185e-12	2.2690024460e-04	2.4046538643e-05	1.1844538088e-17	9.9686392188e-01	2.1603785878e-21	2.0501622760e-11	1.7116044012e-17	3.0097335744e-16	7.9860925273e-12	2.8612125592e-03	2.5000000000e+00	1.1839377630e-13	2.0678279664e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	2.3918745409e-05	4.7390652353e-18
2.2908676528e-12	1.6160398906e-12	1.8975229036e-04	2.4033484855e-05	1.1838401754e-17	9.9687047611e-01	2.2558789440e-21	2.1065082578e-11	1.7125683872e-17	3.0988261434e-16	8.4546690972e-12	2.8957284446e-03	2.5000000000e+00	1.2877466691e-13	2.3076902672e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	2.0009634234e-05	4.7366621900e-18
2.3442288153e-12	1.7022717498e-12	1.5804118539e-04	2.4019808876e-05	1.1831915799e-17	9.9687138998e-01	2.3544624758e-21	2.1633654725e-11	1.7135058692e-17	3.1899510999e-16	8.9471859886e-12	2.9298763427e-03	2.5000000000e+00	1.4001837779e-13	2.5745993698e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.6672647227e-05	4.7341115953e-18
2.3988329190e-12	1.7925644623e-12	1.3108522415e-04	2.4005538708e-05	1.1825099423e-17	9.9686744022e-01	2.4561826972e-21	2.2206829864e-11	1.7144224330e-17	3.2831512313e-16	9.4645996379e-12	2.9636329330e-03	2.5000000000e+00	1.5219176592e-13	2.8715035667e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.3836047949e-05	4.7314220933e-18
2.4547089157e-12	1.8870682251e-12	1.0827011305e-04	2.3990698691e-05	1.1817969486e-17	9.9685932873e-01	2.5610930300e-21	2.2784074378e-11	1.7153231525e-17	3.3784703919e-16	1.0007886007e-11	2.9969752328e-03	2.5000000000e+00	1.6536639471e-13	3.2016596471e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	1.1435193780e-05	4.7286012957e-18
2.5118864315e-12	1.9859359376e-12	8.9044906200e-05	2.3975309718e-05	1.1810540649e-17	9.9684768699e-01	2.6692468430e-21	2.3364831258e-11	1.7162126208e-17	3.4759535098e-16	1.0578039717e-11	3.0298806512e-03	2.5000000000e+00	1.7961882183e-13	3.5686636005e-23	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	9.4121082291e-06	4.7256558444e-18
