Time            	A2              	E1              	E2              	E3              	B1              	M3              	B3              	M1              	M2              	M4              	B2              	C4              	M5              	M6              	CH2O            	C3              	C2              	C2H4O           	S0              	A1              
0.0000000000e+00	0.0000000000e+00	3.6100000000e+13	0.0000000000e+00	0.0000000000e+00	3.6100000000e+13	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-3.6100000000e+13	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-3.6100000000e+13	0.0000000000e+00	-7.2200000000e+13	0.0000000000e+00
1.0000000000e-12	5.4870237878e-01	-5.4981405644e+10	2.5680067416e+06	1.7009702278e-06	5.9325892996e+10	9.3223749795e-10	1.0792929106e+01	4.3495607067e-06	1.6083868952e-04	2.5937871387e+00	1.4386834719e+09	-6.0764576482e+10	2.1141692076e-02	1.9362266726e-12	1.6594719593e-04	9.8904151013e-14	5.4978837634e+10	3.1636312096e+00	-5.7857388453e+09	7.5801336796e-07
1.0232929923e-12	5.6790873541e-01	-5.0750929736e+10	2.3480468018e+06	1.5590789300e-06	5.4668439524e+10	9.6085092343e-10	1.0907152702e+01	4.0271264764e-06	1.6177176566e-04	2.7039747273e+00	1.4207045168e+09	-5.6089144055e+10	2.2636015076e-02	2.1262286861e-12	1.6649513760e-04	1.0544393844e-13	5.0748581687e+10	3.2945194778e+00	-5.3405623659e+09	6.9528451335e-07
1.0471285481e-12	5.8767228916e-01	-4.6758678303e+10	2.1404795793e+06	1.4251788211e-06	5.0274678955e+10	9.8963204009e-10	1.1017319279e+01	3.7223805223e-06	1.6264893380e-04	2.8179394701e+00	1.4023132992e+09	-5.1676992269e+10	2.4229847251e-02	2.3343659380e-12	1.6700839195e-04	1.1234267721e-13	4.6756537821e+10	3.4298416065e+00	-4.9204544451e+09	6.3608788214e-07
1.0715193052e-12	6.0800076544e-01	-4.2998335578e+10	1.9449766124e+06	1.2990586956e-06	4.6137618410e+10	1.0185490655e-09	1.1123167600e+01	3.4349525915e-06	1.6347152175e-04	2.9357502054e+00	1.3835226466e+09	-4.7521141071e+10	2.5929265446e-02	2.5623112777e-12	1.6748782326e-04	1.1961515518e-13	4.2996390599e+10	3.5696802363e+00	-4.5247504693e+09	5.8033025502e-07
1.0964781961e-12	6.2890139120e-01	-3.9463259342e+10	1.7611924606e+06	1.1804962322e-06	4.2249903541e+10	1.0475695395e-09	1.1224435265e+01	3.1644292754e-06	1.6424095101e-04	3.0574727748e+00	1.3643460664e+09	-4.3614249622e+10	2.7740668786e-02	2.8118852259e-12	1.6793434144e-04	1.2727650548e-13	3.9461498147e+10	3.7141148348e+00	-4.1527514725e+09	5.2791346120e-07
1.1220184543e-12	6.5038084678e-01	-3.6146511676e+10	1.5887663038e+06	1.0692590611e-06	3.8603852547e+10	1.0766604177e-09	1.1320859411e+01	2.9103586555e-06	1.6495872732e-04	3.1831696688e+00	1.3447977189e+09	-3.9948650281e+10	2.9670791547e-02	3.0850682630e-12	1.6834889762e-04	1.3534220649e-13	3.6144922906e+10	3.8632213072e+00	-3.8037273715e+09	4.7873485864e-07
1.1481536215e-12	6.7244521629e-01	-3.3040891051e+10	1.4273236119e+06	9.6510586981e-07	3.5191491667e+10	1.1057881670e-09	1.1412177434e+01	2.6722548613e-06	1.6562643101e-04	3.3128996597e+00	1.3248923885e+09	-3.6516384071e+10	3.1726716185e-02	3.3840140582e-12	1.6873247963e-04	1.4382808244e-13	3.3039463724e+10	4.0170715921e+00	-3.4769203438e+09	4.3268782949e-07
1.1748975549e-12	6.9509993649e-01	-3.0138965562e+10	1.2764778729e+06	8.6778754139e-07	3.2004591939e+10	1.1349188664e-09	1.1498127766e+01	2.4496025233e-06	1.6624570735e-04	3.4467174229e+00	1.3046454524e+09	-3.3309237407e+10	3.3915886483e-02	3.7110637030e-12	1.6908610723e-04	1.5275030474e-13	3.0137689080e+10	4.1757332458e+00	-3.1715483236e+09	3.8966228836e-07
1.2022644346e-12	7.1834974443e-01	-2.7433107045e+10	1.1358323680e+06	7.7704831713e-07	2.9034706941e+10	1.1640183096e-09	1.1578450666e+01	2.2418611042e-06	1.6681825682e-04	3.5846731478e+00	1.2840728491e+09	-3.0318779806e+10	3.6246120783e-02	4.0687610150e-12	1.6941082731e-04	1.6212539440e-13	2.7431971209e+10	4.3392690130e+00	-2.8868085931e+09	3.4954520065e-07
1.2302687708e-12	7.4219862394e-01	-2.4915525853e+10	1.0049819800e+06	6.9262697765e-07	2.6273211252e+10	1.1930521104e-09	1.1652889061e+01	2.0484690954e-06	1.6734582550e-04	3.7268121380e+00	1.2631910439e+09	-2.7536402312e+10	3.8725625264e-02	4.4598689836e-12	1.6970770892e-04	1.7197022556e-13	2.4914520867e+10	4.5077363872e+00	-2.6218814412e+09	3.1222110778e-07
1.2589254118e-12	7.6664975097e-01	-2.2578306023e+10	8.8351502268e+05	6.1425803380e-07	2.3711339362e+10	1.2219858104e-09	1.1721189409e+01	1.8688480680e-06	1.6783019547e-04	3.8731744033e+00	1.2420169943e+09	-2.4953356373e+10	4.1363007229e-02	4.8873874299e-12	1.6997783836e-04	1.8230203054e-13	2.2577422504e+10	4.6811871615e+00	-2.3759338646e+09	2.7757265624e-07
1.2882495517e-12	7.9170543816e-01	-2.0413440578e+10	7.7101507690e+05	5.4167291949e-07	2.1340224715e+10	1.2507849882e-09	1.1783102592e+01	1.7024065670e-06	1.6827317543e-04	4.0237942434e+00	1.2205681136e+09	-2.2560792845e+10	4.4167288338e-02	5.3545719592e-12	1.7022231409e-04	1.9313840661e-13	2.0412669559e+10	4.8596669699e+00	-2.1481232824e+09	2.4548112682e-07
1.3182567386e-12	8.1736707873e-01	-1.8412866693e+10	6.6706281993e+05	4.7460117808e-07	1.9150938616e+10	1.2794153688e-09	1.1838384836e+01	1.5485438417e-06	1.6867659143e-04	4.1786998258e+00	1.1988622345e+09	-2.0349800867e+10	4.7147917751e-02	5.8649542879e-12	1.7044224185e-04	2.0449732470e-13	1.8412199626e+10	5.0432148223e+00	-1.9376012370e+09	2.1582696055e-07
1.3489628826e-12	8.4363508979e-01	-1.6568500467e+10	5.7123783382e+05	4.1277163373e-07	1.7134528694e+10	1.3078429351e-09	1.1886798661e+01	1.4066534023e-06	1.6904227793e-04	4.3379127584e+00	1.1769175715e+09	-1.8311446282e+10	5.0314785126e-02	6.4223640277e-12	1.7063872966e-04	2.1639714051e-13	1.6567929225e+10	5.2318626333e+00	-1.7435170528e+09	1.8849027763e-07
1.3803842646e-12	8.7050885548e-01	-1.4872271027e+10	4.8312037939e+05	3.5591353925e-07	1.5282056631e+10	1.3360340372e-09	1.1928113836e+01	1.2761263972e-06	1.6937206900e-04	4.5014476587e+00	1.1547526829e+09	-1.6436809332e+10	5.3678233399e-02	7.0309520183e-12	1.7081288304e-04	2.2885660823e-13	1.4871787902e+10	5.4256347476e+00	-1.5650214249e+09	1.6335138570e-07
1.4125375446e-12	8.9798667002e-01	-1.3316153709e+10	4.0229312218e+05	3.0375769209e-07	1.3584634877e+10	1.3639555030e-09	1.1962108370e+01	1.1563548036e-06	1.6966779005e-04	4.6693117223e+00	1.1323864329e+09	-1.4717021327e+10	5.7249071302e-02	7.6952153002e-12	1.7096580032e-04	2.4189489731e-13	1.3315751411e+10	5.6245474636e+00	-1.4012699116e+09	1.4029127381e-07
1.4454397707e-12	9.2606568103e-01	-1.1892202068e+10	3.2834279737e+05	2.5603751022e-07	1.2033462056e+10	1.3915747459e-09	1.1988569505e+01	1.0467344252e-06	1.6993124973e-04	4.8415042902e+00	1.1098379540e+09	-1.3143300027e+10	6.1038585541e-02	8.4200238233e-12	1.7109856807e-04	2.5553161269e-13	1.1891873721e+10	5.8286085568e+00	-1.2514263018e+09	1.1919208849e-07
1.4791083882e-12	9.5474183332e-01	-1.0592578479e+10	2.6086180131e+05	2.1249006014e-07	1.0619856826e+10	1.4188598718e-09	1.2007294723e+01	9.4666769117e-07	1.7016423241e-04	5.0180164203e+00	1.0871266087e+09	-1.1706983453e+10	6.5058552568e-02	9.2106489944e-12	1.7121225682e-04	2.6978681885e-13	1.0592317612e+10	6.0378168062e+00	-1.1146658357e+09	9.9937588506e-08
1.5135612484e-12	9.8400981355e-01	-9.4095830972e+09	1.9944969812e+05	1.7285702970e-07	9.3352899288e+09	1.4457797829e-09	1.2018092760e+01	8.5556625211e-07	1.7036849106e-04	5.1988304617e+00	1.0642719527e+09	-1.0399561900e+10	6.9321249872e-02	1.0072794165e-11	1.7130791694e-04	2.8468106825e-13	9.4093836422e+09	6.2521615252e+00	-9.9017825225e+08	8.2413575219e-08
1.5488166189e-12	1.0138629960e+00	-8.3356809842e+09	1.4371463053e+05	1.3688563887e-07	8.1714141973e+09	1.4723042791e-09	1.2020784621e+01	7.7285336632e-07	1.7054574056e-04	5.3839196375e+00	1.0412936976e+09	-9.2127079134e+09	7.3839466713e-02	1.1012627171e-11	1.7138657482e-04	3.0023543458e-13	8.3355372642e+09	6.4716221002e+00	-8.7717064374e+08	6.6508295340e-08
1.5848931925e-12	1.0442933896e+00	-7.3635272108e+09	9.3274625483e+04	1.0432948242e-07	7.1200923396e+09	1.4984041552e-09	1.2015204593e+01	6.9796607405e-07	1.7069765166e-04	5.5732476357e+00	1.0182116750e+09	-8.1383040333e+09	7.8626514216e-02	1.2036815030e-11	1.7144922926e-04	3.1647155149e-13	7.3634339305e+09	6.6961675395e+00	-7.7487009715e+08	5.2112813603e-08
1.6218100974e-12	1.0752915874e+00	-6.4859897717e+09	4.7758786188e+04	7.4949299181e-08	6.1734222981e+09	1.5240512946e-09	1.2001201248e+01	6.3035715543e-07	1.7082584543e-04	5.7667682125e+00	9.9504580152e+08	-7.1684681186e+09	8.3696234744e-02	1.3152560925e-11	1.7149684831e-04	3.3341165722e-13	6.4859420070e+09	6.9257560347e+00	-6.8252610567e+08	3.9121352915e-08
1.6595869074e-12	1.1068467175e+00	-5.6961701817e+09	6.8083633332e+03	4.8513663290e-08	5.3237600465e+09	1.5492187582e-09	1.1978638442e+01	5.6949686999e-07	1.7093188825e-04	5.9644248110e+00	9.7181604375e+08	-6.2955761093e+09	8.9063010457e-02	1.4367643578e-11	1.7153036628e-04	3.5107864592e-13	5.6961633673e+09	7.1603345389e+00	-5.9941273600e+08	2.7431600003e-08
1.6982436525e-12	1.1389463969e+00	-4.9874216426e+09	-2.9922299952e+04	2.4799593879e-08	4.5637397002e+09	1.5738808680e-09	1.1947396287e+01	5.1487447629e-07	1.7101728751e-04	6.1661501959e+00	9.4854238540e+08	-5.5122821050e+09	9.4741770980e-02	1.5690459145e-11	1.7155068120e-04	3.6949612629e-13	4.9874515586e+09	7.3998383639e+00	-5.2483054006e+08	1.6944974994e-08
1.7378008287e-12	1.1715766887e+00	-4.3533647007e+09	-6.2764953657e+04	3.5930805421e-09	3.8862908540e+09	1.5980132853e-09	1.1907372104e+01	4.6599953180e-07	1.7108348779e-04	6.3718661108e+00	9.2524479473e+08	-4.8115356683e+09	1.0074800007e-01	1.7130065766e-11	1.7155865258e-04	3.8868848831e-13	4.3534274592e+09	7.6441907996e+00	-4.5810820267e+08	7.5668637387e-09
1.7782794100e-12	1.2047220621e+00	-3.7879003436e+09	-9.2036759667e+04	-1.5310477165e-08	3.2846530870e+09	1.6215930832e-09	1.1858481350e+01	4.2240297395e-07	1.7113186780e-04	6.5814829571e+00	9.0194319328e+08	-4.1865963001e+09	1.0709774121e-01	1.8696230879e-11	1.7155509957e-04	4.0868097872e-13	3.7879923737e+09	7.8933027603e+00	-3.9860391971e+08	-7.9318787619e-10
1.8197008586e-12	1.2383653566e+00	-3.2852205172e+09	-1.1803974471e+05	-3.2105916806e-08	2.7523876161e+09	1.6445988125e-09	1.1800658508e+01	3.8363798551e-07	1.7116373776e-04	6.7948995009e+00	8.7865742569e+08	-3.6310450618e+09	1.1380760200e-01	2.0399481460e-11	1.7154079944e-04	4.2949978642e-13	3.2853385500e+09	8.1470724595e+00	-3.4570650484e+08	-8.2213178916e-09
