Number	Compound Name       	isSite?
     1	A2                  	1
     2	E1                  	1
     3	E2                  	1
     4	E3                  	1
     5	B1                  	1
     6	M3                  	1
     7	B3                  	1
     8	M1                  	1
     9	M2                  	1
    10	M4                  	1
    11	B2                  	1
    12	C4                  	0
    13	M5                  	1
    14	M6                  	1
    15	CH2O                	0
    16	C3                  	0
    17	C2                  	0
    18	C2H4O               	0
    19	S0                  	1
    20	A1                  	1
