Time            	B2              	M6              	B3              	M1              	S0              	M5              	CH2O            	A1              	C2H4O           	C2              	C4              	A2              	E1              	M4              	C3              	E3              	M2              	E2              	B1              	M3              
0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.0000000000e-12	3.1570494212e-03	2.8341012836e-22	1.3854925681e-11	2.8107842353e-17	7.0243968337e-06	6.1311022070e-13	0.0000000000e+00	8.0500123416e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	8.6300449361e-12	5.6866265119e-06	5.0549621071e-11	0.0000000000e+00	2.0114809709e-17	2.2453892821e-16	6.0775146790e-06	9.9682416197e-01	2.3390624569e-21
1.0232929923e-12	3.2062859743e-03	3.1376032304e-22	1.4112966482e-11	2.8119775121e-17	6.8131869154e-06	6.6126382388e-13	0.0000000000e+00	8.0463106530e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	8.9727980479e-12	5.1935354491e-06	5.3049816851e-11	0.0000000000e+00	2.0105467349e-17	2.3178179651e-16	6.0746429352e-06	9.9677563258e-01	2.4647142091e-21
1.0471285481e-12	3.2556693123e-03	3.4724362344e-22	1.4371795423e-11	2.8131150777e-17	6.6486440876e-06	7.1296795202e-13	0.0000000000e+00	8.0424941825e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	9.3279612797e-12	4.8095138678e-06	5.5656069698e-11	0.0000000000e+00	2.0095858558e-17	2.3919073761e-16	6.0717014818e-06	9.9672680075e-01	2.5955728824e-21
1.0715193052e-12	3.3051767319e-03	3.8417129829e-22	1.4631290577e-11	2.8142101001e-17	6.5212521030e-06	7.6846689874e-13	0.0000000000e+00	8.0385665409e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	9.6959285448e-12	4.5123206392e-06	5.8372014547e-11	0.0000000000e+00	2.0085988263e-17	2.4676928783e-16	6.0686896368e-06	9.9667772092e-01	2.7317797996e-21
1.0964781961e-12	3.3547848196e-03	4.2488432583e-22	1.4891326675e-11	2.8152739088e-17	6.4232442874e-06	8.2802052135e-13	0.0000000000e+00	8.0345302948e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.0077102832e-11	4.2838036390e-06	6.1201370839e-11	0.0000000000e+00	2.0075859520e-17	2.5452108345e-16	6.0656065426e-06	9.9662844244e-01	2.8734774461e-21
1.1220184543e-12	3.4044694676e-03	4.6975611233e-22	1.5151775150e-11	2.8163161931e-17	6.3483241922e-06	8.9190514708e-13	0.0000000000e+00	8.0303871211e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.0471896202e-11	4.1092468698e-06	6.4147942452e-11	0.0000000000e+00	2.0065473782e-17	2.6244985964e-16	6.0624511889e-06	9.9657901042e-01	3.0208094009e-21
1.1481536215e-12	3.4542058910e-03	5.1919544840e-22	1.5412504192e-11	2.8173451928e-17	6.2914220660e-06	9.6041452627e-13	0.0000000000e+00	8.0261379429e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.0880729775e-11	3.9768012994e-06	6.7215617472e-11	0.0000000000e+00	2.0054831141e-17	2.7055944960e-16	6.0592224319e-06	9.9652946657e-01	3.1739202668e-21
1.1748975549e-12	3.5039686492e-03	5.7364972276e-22	1.5673378823e-11	2.8183678778e-17	6.2484843006e-06	1.0338608345e-12	0.0000000000e+00	8.0217830474e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.1304033701e-11	3.8769927665e-06	7.0408367836e-11	0.0000000000e+00	2.0043930539e-17	2.7885378385e-16	6.0559190112e-06	9.9647984986e-01	3.3329555990e-21
1.2022644346e-12	3.5537316687e-03	6.3360841480e-22	1.5934260991e-11	2.8193901160e-17	6.2162928398e-06	1.1125757258e-12	0.0000000000e+00	8.0173221886e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.1742247117e-11	3.8022999107e-06	7.3730248812e-11	0.0000000000e+00	2.0032769941e-17	2.8733688968e-16	6.0525395638e-06	9.9643019710e-01	3.4980618336e-21
1.2302687708e-12	3.6034682697e-03	6.9960688894e-22	1.6195009678e-11	2.8204168279e-17	6.1923115125e-06	1.1969114389e-12	0.0000000000e+00	8.0127546746e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.2195818094e-11	3.7467950320e-06	7.7185398338e-11	0.0000000000e+00	2.0021346499e-17	2.9601289092e-16	6.0490826369e-06	9.9638054343e-01	3.6693862155e-21
1.2589254118e-12	3.6531511951e-03	7.7223051537e-22	1.6455481021e-11	2.8214521266e-17	6.1745564027e-06	1.2872419592e-12	0.0000000000e+00	8.0080794416e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.2665203562e-11	3.7058411259e-06	8.0778036187e-11	0.0000000000e+00	2.0009656675e-17	3.0488600779e-16	6.0455466970e-06	9.9633092275e-01	3.8470767277e-21
1.2882495517e-12	3.7027526432e-03	8.5211914403e-22	1.6715528463e-11	2.8224994439e-17	6.1614873774e-06	1.3839642379e-12	0.0000000000e+00	8.0032951165e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.3150869230e-11	3.6758383685e-06	8.4512462977e-11	0.0000000000e+00	1.9997696350e-17	3.1396055698e-16	6.0419301390e-06	9.9628136799e-01	4.0312820213e-21
1.3182567386e-12	3.7522443022e-03	9.3997196040e-22	1.6975002910e-11	2.8235616422e-17	6.1519181458e-06	1.4874994718e-12	0.0000000000e+00	7.9984000684e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.3653289479e-11	3.6540139116e-06	8.8393059015e-11	0.0000000000e+00	1.9985460922e-17	3.2324095200e-16	6.0382312926e-06	9.9623191141e-01	4.2221513481e-21
1.3489628826e-12	3.8015973893e-03	1.0365527539e-21	1.7233752916e-11	2.8246411131e-17	6.1449421340e-06	1.5982944447e-12	0.0000000000e+00	7.9933924517e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.4172947250e-11	3.6382486420e-06	9.2424282959e-11	0.0000000000e+00	1.9972945371e-17	3.3273170358e-16	6.0344484279e-06	9.9618258485e-01	4.4198344950e-21
1.3803842646e-12	3.8507826916e-03	1.1426956321e-21	1.7491624878e-11	2.8257398623e-17	6.1398722265e-06	1.7168229345e-12	0.0000000000e+00	7.9882702402e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.4710333910e-11	3.6269363487e-06	9.6610670318e-11	0.0000000000e+00	1.9960144325e-17	3.4243742039e-16	6.0305797599e-06	9.9613341979e-01	4.6244817229e-21
