Time            	B2              	M6              	B3              	M1              	S0              	M5              	CH2O            	A1              	C2H4O           	C2              	C4              	A2              	E1              	M4              	C3              	E3              	M2              	E2              	B1              	M3              
0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-4.7775511285e+13	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-9.0755112847e+12	-3.8700000000e+13	0.0000000000e+00	9.0755112847e+12	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.8700000000e+13	0.0000000000e+00
1.0000000000e-12	2.1348080960e+09	1.2542631987e-09	1.1187726902e+01	5.3245472744e-07	-1.0345553964e+07	2.0175608213e+00	3.1137725430e-04	-1.5820475343e-07	1.2297008781e+02	2.4278877323e+07	-3.4624539636e+07	1.4621700192e+01	-2.4155773397e+07	1.0633082679e+02	2.8766824611e-11	-3.9985368417e-07	3.1099764682e-04	-1.2321227468e+05	-2.1001836905e+09	5.3459520601e-09
1.0232929923e-12	2.0929152029e+09	1.3524725074e-09	1.0969052155e+01	4.9361414073e-07	-7.8994905774e+06	2.1173498392e+00	3.1123263457e-04	-1.5956820607e-07	1.2526034189e+02	1.8562663564e+07	-2.6462264594e+07	1.4807335289e+01	-1.8439419587e+07	1.0833565676e+02	3.0771386107e-11	-4.0219384077e-07	3.1089313465e-04	-1.2335442967e+05	-2.0664530745e+09	5.4422678399e-09
1.0471285481e-12	2.0508966573e+09	1.4578898783e-09	1.0749548759e+01	4.6213679960e-07	-5.9946477064e+06	2.2213718579e+00	3.1108389047e-04	-1.6061387777e-07	1.2755759113e+02	1.4111317664e+07	-2.0106077936e+07	1.4993092469e+01	-1.3987979649e+07	1.1034312680e+02	3.2915955752e-11	-4.0397281733e-07	3.1077681845e-04	-1.2345057983e+05	-2.0307907176e+09	5.5372651153e-09
1.0715193052e-12	2.0087719310e+09	1.5710077092e-09	1.0529345101e+01	4.3678760842e-07	-4.5206614750e+06	2.3297719565e+00	3.1093109831e-04	-1.6140518612e-07	1.2986075339e+02	1.0666911763e+07	-1.5187687920e+07	1.5178870090e+01	-1.0543516646e+07	1.1235211134e+02	3.5211202313e-11	-4.0530257477e-07	3.1065007313e-04	-1.2350979862e+05	-1.9935843834e+09	5.6308696391e-09
1.0964781961e-12	1.9665610718e+09	1.6923494010e-09	1.0308569183e+01	4.1650268826e-07	-3.3874582046e+06	2.4426985873e+00	3.1077430536e-04	-1.6199416420e-07	1.3216871682e+02	8.0189375129e+06	-1.1406512522e+07	1.5364562858e+01	-7.8955148322e+06	1.1436145537e+02	3.7668706603e-11	-4.0627489224e-07	3.1051406196e-04	-1.2353948514e+05	-1.9551547017e+09	5.7230093596e-09
1.1220184543e-12	1.9242846950e+09	1.8224711268e-09	1.0087348898e+01	4.0037280588e-07	-2.5220147458e+06	2.5603035723e+00	3.1061353414e-04	-1.6242319914e-07	1.3448034032e+02	5.9967347682e+06	-8.5188684446e+06	1.5550061934e+01	-5.8733080674e+06	1.1636997481e+02	4.0301043430e-11	-4.0696447112e-07	3.1036975915e-04	-1.2354563137e+05	-1.9157659711e+09	5.8136144839e-09
1.1481536215e-12	1.8819639718e+09	1.9619636882e-09	9.8658122837e+00	3.8762702028e-07	-1.8655342183e+06	2.6827420949e+00	3.1044878607e-04	-1.6272656908e-07	1.3679445401e+02	4.4628910991e+06	-6.3285463769e+06	1.5735255052e+01	-4.3394791035e+06	1.1837645686e+02	4.3121870749e-11	-4.0743167285e-07	3.1021797141e-04	-1.2353305509e+05	-1.8756355721e+09	5.9026175483e-09
1.1748975549e-12	1.8396206157e+09	2.1114544631e-09	9.6440877491e+00	3.7761685418e-07	-1.3710041704e+06	2.8101726847e+00	3.1028004474e-04	-1.6293178878e-07	1.3910985988e+02	3.3075350524e+06	-4.6786624129e+06	1.5920026646e+01	-3.1841526412e+06	1.2037966055e+02	4.6146026622e-11	-4.0772491105e-07	3.1005935841e-04	-1.2350560134e+05	-1.8349421020e+09	5.9899534993e-09
1.2022644346e-12	1.7972768647e+09	2.2716094492e-09	9.4223042639e+00	3.6980123248e-07	-1.0011022129e+06	2.9427571978e+00	3.1010727869e-04	-1.6306077668e-07	1.4142533265e+02	2.4434414798e+06	-3.4446690141e+06	1.6104257981e+01	-2.3201004860e+06	1.2237831747e+02	4.9389634645e-11	-4.0788272266e-07	3.0989445176e-04	-1.2346631514e+05	-1.7938323465e+09	6.0755597815e-09
