Time            	S0              	C4              	C3              	C2H4O           	M4              	M5              	M6              	A1              	E1              	C2              	E2              	E3              	B1              	B2              	B3              	M1              	M2              	M3              	CH2O            	A2              
0.0000000000e+00	1.0000000000e+00	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.0000000000e-12	2.6962249736e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	3.5783243386e-11	6.9641735862e-13	1.3357352565e-21	1.2164463947e-17	2.3349827566e-05	2.5000000000e+00	1.7398399430e-06	3.0394822944e-17	9.9457709901e-01	5.1281883536e-03	4.7398621614e-11	4.2236436401e-17	3.7833787739e-16	8.7111335516e-21	0.0000000000e+00	3.8284270688e-10
1.0232929923e-12	2.6960203621e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	3.7457878054e-11	7.4934994780e-13	1.4720197951e-21	1.2158215845e-17	2.3345597774e-05	2.5000000000e+00	1.7389447375e-06	3.0379196479e-17	9.9450919915e-01	5.1961137893e-03	4.8094002006e-11	4.2266131966e-17	3.9001399054e-16	9.1388986383e-21	0.0000000000e+00	3.9949962147e-10
1.0471285481e-12	2.6958206720e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	3.9198866789e-11	8.0604161070e-13	1.6215433811e-21	1.2151822509e-17	2.3342095072e-05	2.5000000000e+00	1.7380293247e-06	3.0363210635e-17	9.9444148435e-01	5.2638529553e-03	4.8787475557e-11	4.2296163377e-17	4.0195619762e-16	9.5822373238e-21	0.0000000000e+00	4.1678826987e-10
1.0715193052e-12	2.6956247927e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	4.1008296655e-11	8.6674076514e-13	1.7855251644e-21	1.2145282030e-17	2.3339119946e-05	2.5000000000e+00	1.7370932784e-06	3.0346859584e-17	9.9437399496e-01	5.3313658238e-03	4.9478632464e-11	4.2326610848e-17	4.1417033193e-16	1.0041483994e-20	0.0000000000e+00	4.3472818654e-10
1.0964781961e-12	2.6954319348e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	4.2888296246e-11	9.3171100349e-13	1.9652900263e-21	1.2138592158e-17	2.3336525327e-05	2.5000000000e+00	1.7361361610e-06	3.0330136894e-17	9.9430677177e-01	5.3986118318e-03	5.0167057450e-11	4.2357542726e-17	4.2666236401e-16	1.0516973436e-20	0.0000000000e+00	4.5333929721e-10
1.1220184543e-12	2.6952415521e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	4.4841035391e-11	1.0012319378e-12	2.1622771195e-21	1.2131750366e-17	2.3334203819e-05	2.5000000000e+00	1.7351575240e-06	3.0313035634e-17	9.9423985597e-01	5.4655499461e-03	5.0852330431e-11	4.2389017426e-17	4.3943840177e-16	1.1009040765e-20	0.0000000000e+00	4.7264191678e-10
1.1481536215e-12	2.6950532807e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	4.6868724817e-11	1.0756000868e-12	2.3780490388e-21	1.2124753903e-17	2.3332077819e-05	2.5000000000e+00	1.7341569084e-06	3.0295548452e-17	9.9417328911e-01	5.5321387326e-03	5.1534027219e-11	4.2421085124e-17	4.5250469107e-16	1.1518021366e-20	0.0000000000e+00	4.9265674674e-10
1.1748975549e-12	2.6948668924e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	4.8973615761e-11	1.1551298066e-12	2.6143016614e-21	1.2117599828e-17	2.3330091846e-05	2.5000000000e+00	1.7331338449e-06	3.0277667635e-17	9.9410711304e-01	5.5983364299e-03	5.2211720278e-11	4.2453789253e-17	4.6586761641e-16	1.2044250850e-20	0.0000000000e+00	5.1340487216e-10
1.2022644346e-12	2.6946822592e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	5.1157999526e-11	1.2401542665e-12	2.8728747005e-21	1.2110285045e-17	2.3328206721e-05	2.5000000000e+00	1.7320878541e-06	3.0259385160e-17	9.9404136981e-01	5.6641010267e-03	5.2884979521e-11	4.2487167785e-17	4.7953370197e-16	1.2588065032e-20	0.0000000000e+00	5.3490775823e-10
1.2302687708e-12	2.6944993256e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	5.3424206998e-11	1.3310264726e-12	3.1557630173e-21	1.2102806323e-17	2.3326395140e-05	2.5000000000e+00	1.7310184468e-06	3.0240692730e-17	9.9397610164e-01	5.7293903441e-03	5.3553373138e-11	4.2521254329e-17	4.9350961286e-16	1.3149799933e-20	0.0000000000e+00	5.5718724646e-10
1.2589254118e-12	2.6943180889e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	5.5774608111e-11	1.4281203399e-12	3.4651287383e-21	1.2095160317e-17	2.3324638379e-05	2.5000000000e+00	1.7299251240e-06	3.0221581799e-17	9.9391135082e-01	5.7941621205e-03	5.4216468478e-11	4.2556079062e-17	5.0780215657e-16	1.3729791801e-20	0.0000000000e+00	5.8026555040e-10
1.2882495517e-12	2.6941385836e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	5.8211611273e-11	1.5318318167e-12	3.8033142263e-21	1.2087343580e-17	2.3322923830e-05	2.5000000000e+00	1.7288073767e-06	3.0202043598e-17	9.9384715959e-01	5.8583741016e-03	5.4873832966e-11	4.2591669507e-17	5.2241828460e-16	1.4328377156e-20	0.0000000000e+00	6.0416525099e-10
1.3182567386e-12	2.6939608700e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	6.0737662746e-11	1.6425800615e-12	4.1728559590e-21	1.2079352573e-17	2.3321243207e-05	2.5000000000e+00	1.7276646858e-06	3.0182069141e-17	9.9378357013e-01	5.9219841332e-03	5.5525035051e-11	4.2628051183e-17	5.3736509430e-16	1.4945892861e-20	0.0000000000e+00	6.2890929164e-10
