Time            	S0              	C4              	C3              	C2H4O           	M4              	M5              	M6              	A1              	E1              	C2              	E2              	E3              	B1              	B2              	B3              	M1              	M2              	M3              	CH2O            	A2              
0.0000000000e+00	-4.2755634052e+13	-4.1325000000e+13	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.4306340518e+12	-1.4306340518e+12	0.0000000000e+00	0.0000000000e+00	4.1325000000e+13	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.0000000000e-12	-9.0134082521e+05	-1.1428646425e+06	2.3105116086e-09	7.8349921528e+02	7.1317359758e+01	2.2206444016e+00	5.6478509574e-09	-2.6822123005e-07	-2.0307829456e+05	2.4145027877e+05	-3.8445522715e+04	-6.7092175339e-07	-2.9522938199e+09	2.9534358709e+09	3.0235525598e+01	1.2836777421e-06	5.0139195003e-04	1.8244260880e-08	5.0242642326e-04	7.0996121111e+02
1.0232929923e-12	-8.5702753847e+05	-1.0579053027e+06	2.4646707414e-09	7.9499385315e+02	7.2466404548e+01	2.3245692480e+00	6.0567062363e-09	-2.6824466989e-07	-1.6245862457e+05	2.0080297273e+05	-3.8419139644e+04	-6.7078812641e-07	-2.8780861132e+09	2.8791431940e+09	2.9474965110e+01	1.2668187308e-06	5.0115029121e-04	1.8482838726e-08	5.0216811780e-04	7.2020287935e+02
1.0471285481e-12	-8.1966359888e+05	-9.9121005627e+05	2.6292078917e-09	8.0645697095e+02	7.3611881878e+01	2.4326119096e+00	6.4925050326e-09	-2.6819922947e-07	-1.3315499393e+05	1.7147041239e+05	-3.8391463458e+04	-6.7054062065e-07	-2.8040638631e+09	2.8050542379e+09	2.8716488937e+01	1.2536640924e-06	5.0089892993e-04	1.8714961084e-08	5.0190387180e-04	7.3041247716e+02
1.0715193052e-12	-7.8734754504e+05	-9.3773833127e+05	2.8048841383e-09	8.1788179463e+02	7.4753096279e+01	2.5449019060e+00	6.9568256603e-09	-2.6810163136e-07	-1.1202813714e+05	1.5031348773e+05	-3.8362649087e+04	-6.7020601984e-07	-2.7302758928e+09	2.7312127853e+09	2.7960545656e+01	1.2434488205e-06	5.0063855232e-04	1.8940500766e-08	5.0163358892e-04	7.4058379644e+02
1.0964781961e-12	-7.5867838216e+05	-8.9377100384e+05	2.9925215045e-09	8.2926145966e+02	7.5889342977e+01	2.6615713337e+00	7.4513244790e-09	-2.6796445008e-07	-9.6759815072e+04	1.3501407026e+05	-3.8332806603e+04	-6.6980441849e-07	-2.6567702889e+09	2.6576632035e+09	2.7207589735e+01	1.2355474579e-06	5.0036969095e-04	1.9159342832e-08	5.0135716285e-04	7.5071054534e+02
1.1220184543e-12	-7.3263373511e+05	-8.5658863853e+05	3.1930078617e-09	8.4058902202e+02	7.7019908983e+01	2.7827548486e+00	7.9777386835e-09	-2.6779704399e-07	-8.5652891358e+04	1.2387510026e+05	-3.8302012064e+04	-6.6935073412e-07	-2.5835946520e+09	2.5844503736e+09	2.6458080829e+01	1.2294528371e-06	5.0009274864e-04	1.9371384755e-08	5.0107447903e-04	7.6078635818e+02
1.1481536215e-12	-7.0847550935e+05	-8.2422237756e+05	3.4073021987e-09	8.5185746992e+02	7.8144074266e+01	2.9085896444e+00	8.5378891091e-09	-2.6760629860e-07	-7.7476552296e+04	1.1566581505e+05	-3.8270315915e+04	-6.6885591065e-07	-2.5107962701e+09	2.5116196149e+09	2.5712483025e+01	1.2247572100e-06	4.9980801941e-04	1.9576536596e-08	5.0078541591e-04	7.7080480601e+02
1.1748975549e-12	-6.8567676307e+05	-7.9526084945e+05	3.6364402798e-09	8.6305973620e+02	7.9261113001e+01	3.0392154289e+00	9.1336830459e-09	-2.6739721928e-07	-7.1346336894e+04	1.0950178556e+05	-3.8237749494e+04	-6.6832787580e-07	-2.4384222315e+09	2.4392166043e+09	2.4971264035e+01	1.2211355137e-06	4.9951570684e-04	1.9774721158e-08	5.0048984600e-04	7.8075940776e+02
1.2022644346e-12	-6.6386608827e+05	-7.6870331953e+05	3.8815407172e-09	8.7418871148e+02	8.0370294890e+01	3.1747743962e+00	9.7671170538e-09	-2.6717339453e-07	-6.6632901284e+04	1.0475368570e+05	-3.8204329981e+04	-6.6777228786e-07	-2.3665194866e+09	2.3672872915e+09	2.4234894334e+01	1.2183308614e-06	4.9921593985e-04	1.9965874122e-08	5.0018763670e-04	7.9064364218e+02
1.2302687708e-12	-6.4278542701e+05	-7.4384832389e+05	4.1438114832e-09	8.8523725796e+02	8.1470886549e+01	3.3154111970e+00	1.0440279769e-08	-2.6693735667e-07	-6.2892832729e+04	1.0097811008e+05	-3.8170064152e+04	-6.6719311600e-07	-2.2951348704e+09	2.2958778100e+09	2.3503846257e+01	1.2161420087e-06	4.9890878619e-04	2.0149944178e-08	4.9987865083e-04	8.0045096021e+02
1.2589254118e-12	-6.2225858579e+05	-7.2021055826e+05	4.4245568912e-09	8.9619822394e+02	8.2562152971e+01	3.4612729053e+00	1.1155354691e-08	-2.6669085793e-07	-5.9817021292e+04	9.7865948544e+04	-3.8134951176e+04	-6.6659308367e-07	-2.2243150914e+09	2.2250343830e+09	2.2778593045e+01	1.2144127301e-06	4.9859426382e-04	2.0326893107e-08	4.9956274715e-04	8.1017479805e+02
1.2882495517e-12	-6.0216773028e+05	-6.9745884443e+05	4.7251850709e-09	9.0706445892e+02	8.3643359052e+01	3.6125089823e+00	1.1914622945e-08	-2.6643508170e-07	-5.7192129441e+04	9.5203857781e+04	-3.8098984706e+04	-6.6597400719e-07	-2.1541066962e+09	2.1548032259e+09	2.2059607847e+01	1.2130227888e-06	4.9827235048e-04	2.0496695852e-08	4.9923978067e-04	8.1980859088e+02
1.3182567386e-12	-5.8243628860e+05	-6.7537102262e+05	5.0472159716e-09	9.1782882939e+02	8.4713771183e+01	3.7692712388e+00	1.2720466001e-08	-2.6617079976e-07	-5.4872579629e+04	9.2846250484e+04	-3.8062154396e+04	-6.6533704746e-07	-2.0845560128e+09	2.0852304446e+09	2.1347362682e+01	1.2118804981e-06	4.9794299156e-04	2.0659340538e-08	4.9890960290e-04	8.2934578696e+02
1.3489628826e-12	-5.6301668279e+05	-6.5380159741e+05	5.3922899231e-09	9.2848423513e+02	8.5772658895e+01	3.9317137941e+00	1.3575368345e-08	-2.6589848763e-07	-5.2760467631e+04	9.0695209747e+04	-3.8024446987e+04	-6.6468289439e-07	-2.0157090770e+09	2.0163619295e+09	2.0642327361e+01	1.2109166600e-06	4.9760610642e-04	2.0814828460e-08	4.9857206200e-04	8.3877986243e+02
1.3803842646e-12	-5.4388106700e+05	-6.3265732366e+05	5.7621767865e-09	9.3902362609e+02	8.6819296564e+01	4.0999930341e+00	1.4481920086e-08	-2.6561841350e-07	-5.0790409524e+04	8.8685336868e+04	-3.7985847131e+04	-6.6401190861e-07	-1.9476115484e+09	1.9482432468e+09	1.9944968369e+01	1.2100794262e-06	4.9726159374e-04	2.0963174023e-08	4.9822700293e-04	8.4810433648e+02
1.4125375446e-12	-5.2501523565e+05	-6.1188116805e+05	6.1587857293e-09	9.4944001977e+02	8.7852965171e+01	4.2742675660e+00	1.5442819485e-08	-2.6533069798e-07	-4.8919594473e+04	8.6773804670e+04	-3.7946337927e+04	-6.6332421690e-07	-1.8803086137e+09	1.8809195261e+09	1.9255747724e+01	1.2093303870e-06	4.9690933564e-04	2.1104404630e-08	4.9787426749e-04	8.5731278701e+02
1.4454397707e-12	-5.0641408551e+05	-5.9144037397e+05	6.5841756612e-09	9.5972651902e+02	8.8872954093e+01	4.4546981736e+00	1.6460875403e-08	-2.6503535933e-07	-4.7120387142e+04	8.4932960311e+04	-3.7905901319e+04	-6.6261978411e-07	-1.8138448834e+09	1.8144353455e+09	1.8575121790e+01	1.2086413408e-06	4.9654920091e-04	2.1238560522e-08	4.9751369436e-04	8.6639886674e+02
1.4791083882e-12	-4.8807852007e+05	-5.7131833697e+05	7.0405663657e-09	9.6987633028e+02	8.9878562950e+01	4.6414477697e+00	1.7539009630e-08	-2.6473234487e-07	-4.5375298537e+04	8.3145296400e+04	-3.7864518370e+04	-6.6189846315e-07	-1.7482642828e+09	1.7488346134e+09	1.7903540081e+01	1.2079917823e-06	4.9618104768e-04	2.1365694569e-08	4.9714511916e-04	8.7535631954e+02
1.5135612484e-12	-4.7001331647e+05	-5.5150902335e+05	7.5303503674e-09	9.7988278203e+02	9.0869103472e+01	4.8346813489e+00	1.8680259113e-08	-2.6442155293e-07	-4.3673537436e+04	8.1400002602e+04	-3.7822169447e+04	-6.6116002985e-07	-1.6836099376e+09	1.6841604495e+09	1.7241444028e+01	1.2073669469e-06	4.9580472533e-04	2.1485871999e-08	4.9676837442e-04	8.8417899719e+02
1.5488166189e-12	-4.5222567168e+05	-5.3201318301e+05	8.0561055737e-09	9.8973934368e+02	9.1843901403e+01	5.0345659393e+00	1.9887778040e-08	-2.6410284792e-07	-4.2008676993e+04	7.9690632374e+04	-3.7778834343e+04	-6.6040420689e-07	-1.6199240558e+09	1.6204550626e+09	1.6589265745e+01	1.2067563072e-06	4.9542007607e-04	2.1599170069e-08	4.9638328958e-04	8.9286087632e+02
1.5848931925e-12	-4.3472421685e+05	-5.1283579950e+05	8.6206087313e-09	9.9943964445e+02	9.2802298413e+01	5.2412705552e+00	2.1164839780e-08	-2.6377607070e-07	-4.0377090285e+04	7.8013538586e+04	-3.7734492365e+04	-6.5963068023e-07	-1.5572478083e+09	1.5577596287e+09	1.5947426765e+01	1.2061524272e-06	4.9502693610e-04	2.1705677692e-08	4.9598969097e-04	9.0139607546e+02
1.6218100974e-12	-4.1751835960e+05	-4.9398440624e+05	9.2268497418e-09	1.0089774925e+03	9.3743654028e+01	5.4549661496e+00	2.2514838653e-08	-2.6344104537e-07	-3.8776924255e+04	7.6366847525e+04	-3.7689122385e+04	-6.5883910997e-07	-1.4956212070e+09	1.4961141671e+09	1.5316336784e+01	1.2055501061e-06	4.9462513641e-04	2.1805494995e-08	4.9558740182e-04	9.0977887231e+02
1.6595869074e-12	-4.0061784001e+05	-4.7546796732e+05	9.8780468780e-09	1.0183468940e+03	9.4667347559e+01	5.6758255681e+00	2.3941291529e-08	-2.6309758391e-07	-3.7207424432e+04	7.4749783641e+04	-3.7642702877e+04	-6.5802913757e-07	-1.4350829824e+09	1.4355574173e+09	1.4696392394e+01	1.2049457377e-06	4.9421450349e-04	2.1898732829e-08	4.9517624219e-04	9.1800372090e+02
1.6982436525e-12	-3.8403243487e+05	-4.5729614952e+05	1.0577662947e-08	1.0275420723e+03	9.5572780027e+01	5.9040235045e+00	2.5447839219e-08	-2.6274548910e-07	-3.5668502718e+04	7.3162237359e+04	-3.7595211938e+04	-6.5720039063e-07	-1.3756704614e+09	1.3761267160e+09	1.4087975826e+01	1.2043368429e-06	4.9379485973e-04	2.1985512224e-08	4.9475602900e-04	9.2606526874e+02
1.7378008287e-12	-3.6777175770e+05	-4.3947884693e+05	1.1329422449e-08	1.0365574864e+03	9.6459376067e+01	6.1397364586e+00	2.7038247664e-08	-2.6238455644e-07	-3.4160461931e+04	7.1604489629e+04	-3.7546627304e+04	-6.5635248587e-07	-1.3174194461e+09	1.3178578749e+09	1.3491453699e+01	1.2037217297e-06	4.9336602381e-04	2.2065963797e-08	4.9432657595e-04	9.3395837387e+02
1.7782794100e-12	-3.5184512105e+05	-4.2202586917e+05	1.2137329772e-08	1.0453878501e+03	9.7326585809e+01	6.3831426965e+00	2.8716408884e-08	-2.6201457539e-07	-3.2683821763e+04	7.0077037899e+04	-3.7496926358e+04	-6.5548503110e-07	-1.2603640932e+09	1.2607850608e+09	1.2907175794e+01	1.2030992493e-06	4.9292781089e-04	2.2140227105e-08	4.9388769354e-04	9.4167812158e+02
1.8197008586e-12	-3.3626143962e+05	-4.0494673647e+05	1.3005688480e-08	1.0540281498e+03	9.8173886716e+01	6.6344222146e+00	3.0486341689e-08	-2.6163533008e-07	-3.1239210712e+04	6.8580488042e+04	-3.7446086132e+04	-6.5459762636e-07	-1.2045367972e+09	1.2049406776e+09	1.2335473841e+01	1.2024686237e-06	4.9248003281e-04	2.2208449963e-08	4.9343918902e-04	9.4921984086e+02
1.8620871367e-12	-3.2102915940e+05	-3.8825054222e+05	1.3939121746e-08	1.0624736625e+03	9.9000785386e+01	6.8937567076e+00	3.2352192123e-08	-2.6124659981e-07	-2.9827299499e+04	6.7115487779e+04	-3.7394083315e+04	-6.5368986473e-07	-1.1499680749e+09	1.1503552511e+09	1.1776660347e+01	1.2018293254e-06	4.9202249821e-04	2.2270787711e-08	4.9298086638e-04	9.5657912041e+02
1.9054607180e-12	-3.0615620342e+05	-3.7194585756e+05	1.4942593966e-08	1.0707199730e+03	9.9806819281e+01	7.1613295408e+00	3.4318233636e-08	-2.6084815933e-07	-2.8448759889e+04	6.5682685499e+04	-3.7340894251e+04	-6.5276133271e-07	-1.0966864548e+09	1.0970573187e+09	1.1231027460e+01	1.2011809942e-06	4.9155501258e-04	2.2327402458e-08	4.9251252632e-04	9.6375182410e+02
1.9498445998e-12	-2.9164992801e+05	-3.5604066212e+05	1.6021433628e-08	1.0787629900e+03	1.0059155839e+02	7.4373257282e+00	3.6388866962e-08	-2.6043977897e-07	-2.7104239162e+04	6.4282704727e+04	-3.7286494941e+04	-6.5181161053e-07	-1.0447183708e+09	1.0450733220e+09	1.0698845874e+01	1.2005233799e-06	4.9107737838e-04	2.2378462285e-08	4.9203396622e-04	9.7073410584e+02
1.9952623150e-12	-2.7751708567e+05	-3.4054229102e+05	1.7181357477e-08	1.0865989625e+03	1.0135460683e+02	7.7219319164e+00	3.8568619688e-08	-2.6002122489e-07	-2.5794344309e+04	6.2916128324e+04	-3.7230861044e+04	-6.5084027231e-07	-9.9408806018e+08	9.9442750569e+08	1.0180363792e+01	1.1998563042e-06	4.9058939500e-04	2.2424140428e-08	4.9154498016e-04	9.7752242370e+02
2.0417379447e-12	-2.6376379817e+05	-3.2545739876e+05	1.8428496030e-08	1.0942244939e+03	1.0209560431e+02	8.0153363747e+00	4.0862145511e-08	-2.5959225874e-07	-2.4519632710e+04	6.1583489156e+04	-3.7173967877e+04	-6.4984688612e-07	-9.4481746872e+08	9.4514182221e+08	9.6758059500e+00	1.1991796358e-06	4.9009085887e-04	2.2464614444e-08	4.9104535884e-04	9.8411355320e+02
2.0892961309e-12	-2.5039550582e+05	-3.1079190039e+05	1.9769420506e-08	1.1016365563e+03	1.0281422754e+02	8.3177289936e+00	4.3274223158e-08	-2.5915263985e-07	-2.3280604153e+04	6.0285262122e+04	-3.7115790415e+04	-6.4883101405e-07	-8.9692616170e+08	8.9723584278e+08	9.1853727070e+00	1.1984932734e-06	4.8958156346e-04	2.2500065353e-08	4.9053488963e-04	9.9050459968e+02
2.1379620895e-12	-2.3741702263e+05	-2.9655102454e+05	2.1211171222e-08	1.1088325024e+03	1.0351019148e+02	8.6293012898e+00	4.5809754966e-08	-2.5870211796e-07	-2.2077698624e+04	5.9021861932e+04	-3.7056303291e+04	-6.4779221227e-07	-8.5043124252e+08	8.5072667600e+08	8.7092392101e+00	1.1977971327e-06	4.8906129930e-04	2.2530676790e-08	4.9001335651e-04	9.9669300960e+02
2.1877616239e-12	-2.2483238797e+05	-2.8273916211e+05	2.2761287512e-08	1.1158100777e+03	1.0418325049e+02	8.9502464213e+00	4.8473765116e-08	-2.5824044497e-07	-2.0911293334e+04	5.7793640144e+04	-3.6995480796e+04	-6.4673003100e-07	-8.0534727945e+08	8.0562889456e+08	8.2475546458e+00	1.1970911488e-06	4.8852985400e-04	2.2556634139e-08	4.8948054008e-04	1.0026765807e+03
2.2387211386e-12	-2.1264493294e+05	-2.6935992502e+05	2.4427839235e-08	1.1225674297e+03	1.0483319935e+02	9.2807592107e+00	5.1271397500e-08	-2.5776736726e-07	-1.9781695195e+04	5.6600877629e+04	-3.6933296881e+04	-6.4564401456e-07	-7.6168624113e+08	7.6195447069e+08	7.8004415796e+00	1.1963752581e-06	4.8798701233e-04	2.2578123685e-08	4.8893621754e-04	1.0084534711e+03
2.2908676528e-12	-2.0085726994e+05	-2.5641613980e+05	2.6219459925e-08	1.1291031170e+03	1.0545987410e+02	9.6210361790e+00	5.4207913232e-08	-2.5728262505e-07	-1.8689144706e+04	5.5443788464e+04	-3.6869725157e+04	-6.4453370140e-07	-7.1945744145e+08	7.1971272112e+08	7.3679953903e+00	1.1956494033e-06	4.8743255617e-04	2.2595331774e-08	4.8838016271e-04	1.0140222067e+03
2.3442288153e-12	-1.8947124138e+05	-2.4390979325e+05	2.8145381644e-08	1.1354161160e+03	1.0606315274e+02	9.9712755891e+00	5.7288687792e-08	-2.5678595620e-07	-1.7633812983e+04	5.4322516960e+04	-3.6804738893e+04	-6.4339862405e-07	-6.7866749460e+08	6.7891026203e+08	6.9502838105e+00	1.1949135325e-06	4.8686626462e-04	2.2608443990e-08	4.8781214599e-04	1.0193816876e+03
2.3988329190e-12	-1.7848793230e+05	-2.3184204358e+05	3.0215471615e-08	1.1415058260e+03	1.0664295575e+02	1.0331677501e+01	6.0519207795e-08	-2.5627709407e-07	-1.6615800265e+04	5.3237136166e+04	-3.6738311021e+04	-6.4223830921e-07	-6.3932028074e+08	6.3955097473e+08	6.5473465748e+00	1.1941675962e-06	4.8628791397e-04	2.2617644362e-08	4.8723193438e-04	1.0245311926e+03
2.4547089157e-12	-1.6790765486e+05	-2.2021320463e+05	3.2440270667e-08	1.1473720733e+03	1.0719924647e+02	1.0702443839e+01	6.3905067400e-08	-2.5575576864e-07	-1.5635135642e+04	5.2187647597e+04	-3.6670414132e+04	-6.4105227769e-07	-6.0141692287e+08	6.0163598254e+08	6.1591951831e+00	1.1934115471e-06	4.8569727782e-04	2.2623114595e-08	4.8663929150e-04	1.0294703829e+03
2.5118864315e-12	-1.5772995041e+05	-2.0902274728e+05	3.4831033596e-08	1.1530151126e+03	1.0773203126e+02	1.1083778467e+01	6.7451964354e-08	-2.5522170570e-07	-1.4691776387e+04	5.1173980573e+04	-3.6601020481e+04	-6.3984004452e-07	-5.6495577524e+08	5.6516363919e+08	5.7858127818e+00	1.1926453394e-06	4.8509412704e-04	2.2625033346e-08	4.8603397755e-04	1.0341993028e+03
2.5703957828e-12	-1.4795358647e+05	-1.9826929675e+05	3.7399771467e-08	1.1584356270e+03	1.0824135946e+02	1.1475887283e+01	7.1165695683e-08	-2.5467462760e-07	-1.3785608297e+04	5.0195992551e+04	-3.6530101986e+04	-6.3860111887e-07	-5.2993242398e+08	5.3012952941e+08	5.4271541699e+00	1.1918689291e-06	4.8447822990e-04	2.2623575537e-08	4.8541574937e-04	1.0387183802e+03
2.6302679919e-12	-1.3857656216e+05	-1.8795063819e+05	4.0159295955e-08	1.1636347262e+03	1.0872732322e+02	1.1878978319e+01	7.5052153035e-08	-2.5411425287e-07	-1.2916445806e+04	4.9253469250e+04	-3.6457630230e+04	-6.3733500413e-07	-4.9633969997e+08	4.9652648189e+08	5.0831459319e+00	1.1910822735e-06	4.8384935208e-04	2.2618911712e-08	4.8478436042e-04	1.0430284246e+03
2.6915348039e-12	-1.2959611393e+05	-1.7806372324e+05	4.3123265771e-08	1.1686139421e+03	1.0919005707e+02	1.2293261858e+01	7.9117317691e-08	-2.5354029668e-07	-1.2084032842e+04	4.8346125502e+04	-3.6383576463e+04	-6.3604119794e-07	-4.6416770446e+08	4.6434459482e+08	4.7536866987e+00	1.1902853315e-06	4.8320725677e-04	2.2611207455e-08	4.8413956082e-04	1.0471306230e+03
2.7542287033e-12	-1.2100872769e+05	-1.6860468290e+05	4.6306235249e-08	1.1733752232e+03	1.0962973729e+02	1.2718950562e+01	8.3367255265e-08	-2.5295247055e-07	-1.1288043612e+04	4.7473606043e+04	-3.6307911601e+04	-6.3471919218e-07	-4.3340384739e+08	4.3357127426e+08	4.4386475411e+00	1.1894780631e-06	4.8255170469e-04	2.2600622849e-08	4.8348109733e-04	1.0510265352e+03
2.8183829313e-12	-1.1281015207e+05	-1.5956884238e+05	4.9723705167e-08	1.1779209267e+03	1.1004658115e+02	1.3156259613e+01	8.7808110103e-08	-2.5235048270e-07	-1.0528084072e+04	4.6635486982e+04	-3.6230606234e+04	-6.3336847306e-07	-4.0403289857e+08	4.0419128536e+08	4.1378724936e+00	1.1886604297e-06	4.8188245423e-04	2.2587312007e-08	4.8280871344e-04	1.0547180859e+03
2.8840315031e-12	-1.0499541662e+05	-1.5095074078e+05	5.3392175865e-08	1.1822538085e+03	1.1044084582e+02	1.3605406871e+01	9.2446099419e-08	-2.5173403808e-07	-9.8036935347e+03	4.5831277420e+04	-3.6151630620e+04	-6.3198852109e-07	-3.7603705180e+08	3.7618681644e+08	3.8511792108e+00	1.1878323941e-06	4.8119926149e-04	2.2571422654e-08	4.8212214936e-04	1.0582075557e+03
2.9512092267e-12	-9.7558853522e+04	-1.4274415487e+05	5.7329202731e-08	1.1863770112e+03	1.1081282724e+02	1.4066613037e+01	9.7287507175e-08	-2.5110283846e-07	-9.1143466492e+03	4.5060421423e+04	-3.6070954695e+04	-6.3057881119e-07	-3.4939600157e+08	3.4953755577e+08	3.5783597530e+00	1.1869939202e-06	4.8050188039e-04	2.2553095773e-08	4.8142114205e-04	1.0614975708e+03
3.0199517204e-12	-9.0494121430e+04	-1.3494212524e+05	6.1553454144e-08	1.1902940505e+03	1.1116285865e+02	1.4540101836e+01	1.0233867776e-07	-2.5045658251e-07	-8.4594557354e+03	4.4322300365e+04	-3.5988548070e+04	-6.2913881268e-07	-3.2408703226e+08	3.2422078077e+08	3.3191814999e+00	1.1861449736e-06	4.7979006275e-04	2.2532465314e-08	4.8070542527e-04	1.0645910899e+03
3.0902954325e-12	-8.3794235624e+04	-1.2753698902e+05	6.6084771929e-08	1.1940087994e+03	1.1149130900e+02	1.5026100207e+01	1.0760600949e-07	-2.4979496599e-07	-7.8383733565e+03	4.3616235509e+04	-3.5904380041e+04	-6.2766798938e-07	-3.0008511945e+08	3.0021145936e+08	3.0733881877e+00	1.1852855211e-06	4.7906355841e-04	2.2509657970e-08	4.7997472965e-04	1.0674913900e+03
3.1622776602e-12	-7.7451597662e+04	-1.2052041254e+05	7.0944234417e-08	1.1975254706e+03	1.1179858121e+02	1.5524838510e+01	1.1309594794e-07	-2.4911768180e-07	-7.2503952903e+03	4.2941490978e+04	-3.5818419586e+04	-6.2616579966e-07	-2.7736304283e+08	2.7748236288e+08	2.8407010654e+00	1.1844155309e-06	4.7832211538e-04	2.2484793011e-08	4.7922878271e-04	1.0702020507e+03
3.2359365693e-12	-7.1458031085e+04	-1.1388343017e+05	7.6154222183e-08	1.2008485977e+03	1.1208511016e+02	1.6036550739e+01	1.1881497923e-07	-2.4842442015e-07	-6.6947637125e+03	4.2297276947e+04	-3.5730635373e+04	-6.2463169648e-07	-2.5589151028e+08	2.5600419024e+08	2.6208201658e+00	1.1835349731e-06	4.7756547987e-04	2.2457982179e-08	4.7846730891e-04	1.0727269367e+03
3.3113112148e-12	-6.5804818510e+04	-1.0761648495e+05	8.1738486554e-08	1.2039830141e+03	1.1235136061e+02	1.6561474753e+01	1.2476962319e-07	-2.4771486867e-07	-6.1706706802e+03	4.1682753130e+04	-3.5640995763e+04	-6.2306512752e-07	-2.3563929222e+08	2.3574570231e+08	2.4134256809e+00	1.1826438193e-06	4.7679339654e-04	2.2429329648e-08	4.7769002976e-04	1.0750701786e+03
